Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, Black or African American Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder - Margin of Error","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Asian Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, Some Other Race Householder - Margin of Error","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, 2 or More Races Householder - Margin of Error","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Non-Hispanic White Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,Shape Area,Shape Length
19,01629543,22,LA,Louisiana,111897594374,23753621895,47942,363,25552,1026,53554,640,56728,744,35363,385,29508,466,41664,4152,61351,3295,56667,19519,36882,2090,44816,3122,59267,600,44169,1367,1736021,5617,157831,2654,1578190,5216,9.1,0.150021570574275,167579279928.855,4198730.37851652
20,01779787,23,ME,Maine,79887426037,11746549764,55425,588,32310,1821,63962,1006,66472,853,39377,531,38655,5108,32670,5178,55656,8132,70500,70267,55332,17006,39828,3182,56100,605,49082,4592,556955,2215,80965,1923,475990,2430,14.5,0.340395549806635,172395493965.668,3775973.49711918
21,01714934,24,MD,Maryland,25151100280,6979966958,81868,431,39748,1247,84605,669,99403,769,57240,545,65039,716,69955,3572,102786,2101,89265,15480,64028,1280,77834,2685,91898,529,70412,1029,2192518,5412,233680,2889,1958838,5509,10.7,0.12911325397142,44906383381.6367,3051475.45505454
22,00606926,25,MA,Massachusetts,20205125364,7129925486,77378,425,38244,1835,88230,772,96031,732,47486,420,48382,1148,42686,4356,91713,1904,79919,9217,40262,1133,61053,2696,84442,435,41289,742,2601914,4637,294515,3550,2307399,5202,11.3,0.134938527372221,38926696230.6953,1986537.52628488
23,01779789,26,MI,Michigan,146600952990,103885855702,54938,166,29150,565,60650,424,67108,438,42287,190,33649,454,42336,2300,82733,1664,58547,12960,43310,2071,43428,1720,59441,221,46629,929,3909509,9207,352135,3093,3557374,8714,9,0.0762181019138087,296352305373.277,6631912.54004601
24,00662849,27,MN,Minnesota,206228939448,18945217189,68411,276,36440,858,77555,541,83576,458,45519,369,34879,986,36429,2316,75437,1342,72917,22006,45676,1954,54537,2136,71944,273,48574,1180,2167801,5845,262087,2645,1905714,5262,12.1,0.117577856693736,458774194717.879,4506552.19707327
25,01779790,28,MS,Mississippi,121533519481,3926919758,43567,395,25227,1318,48185,684,50409,656,34275,487,29690,444,33297,3467,59478,4391,26287,15286,42112,2269,40069,2773,54459,465,43128,2086,1105576,4591,93793,2353,1011783,5055,8.5,0.209894319578278,175235316695.004,3003226.57862831
26,01779791,29,MO,Missouri,178050802184,2489425460,53560,221,28670,810,60699,508,64219,440,40184,315,35710,456,40824,4123,67526,2965,48696,14984,37554,1834,42327,1591,56891,274,45677,1191,2396271,6753,246991,3074,2149280,6315,10.3,0.124950759690256,294363343083.359,3050108.17717652
27,00767982,30,MT,Montana,376962738765,3869208832,52559,587,29264,1641,60392,1260,61929,1160,40168,635,41484,8289,32072,1712,58774,5278,36380,3060,48125,11655,39415,2915,54051,645,42094,2210,423240,2033,64830,1585,358410,2245,15.3,0.367193063180816,820172629338.281,4615722.95252931
28,01779792,31,NE,Nebraska,198956658395,1371829134,59116,346,31669,924,65648,710,73502,753,42172,593,34122,1919,37398,3963,56627,3382,42063,20251,46853,3112,44305,3282,62607,371,47200,1438,754063,2749,100104,1642,653959,2965,13.3,0.212307514537988,357863769082.871,2922199.15936517
