Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total Population 25 Years and Over in Households,Total Population 25 Years and Over in Households - Margin of Error,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households - Margin of Error,All Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer,All Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer - Margin of Error,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with Dial-up Internet Subscription Alone - Margin of Error,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer without an Internet Subscription - Margin of Error,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have No Computer,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have No Computer - Margin of Error,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households - Margin of Error,All Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer,All Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer - Margin of Error,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with Dial-up Internet Subscription Alone - Margin of Error,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer without an Internet Subscription - Margin of Error,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer - Margin of Error,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households - Margin of Error,All Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer,All Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer - Margin of Error,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with Dial-up Internet Subscription Alone - Margin of Error,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer without an Internet Subsription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer without an Internet Subsription - Margin of Error,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer - Margin of Error,Population 25 Years and Over in Households that Have No Computer,Population 25 Years and Over in Households that Have No Computer - Margin of Error,Percent of Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over in Households that Have No Computer - Margin of Error,Percent of Population 25 Years and Over who are Not High School Graduates in Households that Have No Computer,Percent of Population 25 Years and Over who are Not High School Graduates in Households that Have No Computer - Margin of Error,Percent of Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Percent of Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer - Margin of Error,Percent of Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Percent of Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer - Margin of Error,Shape Area,Shape Length
1,01779775,01,AL,Alabama,131174048583,4593327154,3231246,1373,446087,5667,293249,4799,2045,351,226600,3895,64604,2638,152838,3483,1966931,8104,1686328,7927,11334,965,1467638,9064,207356,4520,280603,5104,818228,7352,789456,7529,3060,391,747307,7710,39089,1584,28772,1252,462213,6305,14.3,0.195031276559021,34.3,0.648215800398486,14.3,0.252745942184584,3.5,0.149715978301898,190122625832.525,2312415.89178446
2,01785533,02,AK,Alaska,1478839695958,245481577452,458884,516,32764,1181,27303,1086,212,116,22478,938,4613,494,5461,414,290137,2274,273391,2425,1488,372,246435,2441,25468,1232,16746,1021,135983,2114,133785,2168,415,146,127483,2151,5887,578,2198,291,24405,1140,5.3,0.248356806125386,16.7,1.1116121538701,5.8,0.34898298689016,1.6,0.212516889256873,8208933682478.09,63996878.6025828
3,01779777,04,AZ,Arizona,294198551143,1027337603,4534295,1058,585532,6071,458950,5249,1762,313,378154,5026,79034,2540,126582,2822,2619204,7206,2389840,7965,11428,979,2169222,7681,209190,4466,229364,4202,1329559,8131,1294947,8147,3965,460,1238456,8278,52526,2015,34612,1457,390558,5267,8.6,0.116141794302347,21.6,0.426660388164764,8.8,0.158611078008751,2.6,0.108422585528887,434058036475.438,2904949.8979294
4,00068085,05,AR,Arkansas,134768872727,2962859592,1950677,1007,264187,3829,179629,3082,1570,317,129201,2794,48858,2294,84558,2723,1238645,5510,1073122,5341,7530,827,887777,5866,177815,4006,165523,3680,447845,5520,432302,5438,1453,268,393275,5696,37574,1995,15543,942,265624,4674,13.6,0.239505983853791,32,0.920415989536233,13.4,0.291091053506869,3.5,0.205944751855597,205326115241.953,2656504.35896412
5,01779778,06,CA,California,403503931312,20463871877,25715426,2453,4322314,20158,3633852,15550,18410,1412,3092798,14798,522644,8380,688462,8904,12733799,25213,11886947,24784,52229,2206,10935606,21985,899112,11454,846852,9196,8659313,35647,8497455,35748,21197,1068,8218665,35376,257593,4329,161858,2927,1697172,13131,6.6,0.0510588545556621,15.9,0.192141135529635,6.7,0.0710066094679858,1.9,0.0329142947910807,650088043494.613,5274812.47760218
6,01779779,08,CO,Colorado,268422891711,1181621593,3684864,1100,311290,4774,255916,4142,1651,372,213375,4262,40890,2086,55374,2091,1875704,6774,1748246,7063,11996,932,1601407,6085,134843,3213,127458,2625,1497870,7937,1472290,8044,5179,582,1418075,8389,49036,1720,25580,1247,208412,3580,5.7,0.0971395242984212,17.8,0.613827719149074,6.8,0.137779000892971,1.7,0.0827582818568813,447310993087.215,2708265.22753582
7,01779780,09,CT,Connecticut,12542497068,1815617571,2424279,628,221309,3136,165168,2926,1018,196,142203,2745,21947,1253,56141,2229,1243915,6127,1128636,6089,5229,571,1042591,5679,80816,2980,115279,2518,959055,6526,938999,6476,2861,448,910759,6463,25379,1261,20056,1049,191476,3523,7.9,0.145307153595202,25.4,0.940858027829959,9.3,0.197211445471594,2.1,0.108448902600471,23146187281.7422,782072.641636725
8,01779781,10,DE,Delaware,5045925646,1399985648,647808,297,63047,1849,47581,1810,182,64,39356,1710,8043,816,15466,945,378368,2815,343887,3055,1573,307,313977,2965,28337,1427,34481,1447,206393,2405,202149,2346,634,171,194266,2455,7249,607,4244,410,54191,1776,8.4,0.27412847799821,24.5,1.31494220185178,9.1,0.376373932554215,2.1,0.197199805903371,8697981313.87109,610862.733093048
9,01702382,11,DC,District of Columbia,158340391,18687198,473989,479,42450,1552,31070,1392,124,64,22053,1321,8893,947,11380,890,153501,2192,129421,2273,450,160,103576,2387,25395,1645,24080,1166,278038,2087,274016,2053,577,292,263378,2172,10061,920,4022,485,39482,1545,8.3,0.325848219242275,26.8,1.85338422620924,15.7,0.725821157169427,1.4,0.174098315742504,292745374.59375,86300.673721702
10,00294478,12,FL,Florida,138949136250,31361101223,14404710,2218,1681540,12890,1327094,10459,7234,769,1085568,9692,234292,5528,354446,6319,8461808,21440,7738351,17895,37321,1855,6916874,16078,784156,12639,723457,10803,4261362,25278,4144212,25724,10958,897,3916355,26812,216899,4896,117150,3483,1195053,12991,8.3,0.0901767319192028,21.1,0.339274615111013,8.5,0.125816474397853,2.7,0.0800910843346027,196197901321.74,4679537.4653303
11,01705317,13,GA,Georgia,149482048342,4422936154,6646655,2238,857515,9983,630902,8087,3714,648,498142,6632,129046,3910,226613,4821,3718428,13022,3349492,12818,14134,1063,2952983,11918,382375,7294,368936,5978,2070712,15038,2026648,15207,4047,515,1937347,15440,85254,3040,44064,1678,639613,7861,9.6,0.118225623558882,26.4,0.470557706580508,9.9,0.156967100470504,2.1,0.0795477249776932,215997640119.135,2584480.72655766
