modzcta,avgsvi
10473,0.8210642857142857
10454,0.9754416666666664
10455,0.9613937499999999
10472,0.9566800000000001
10451,0.9387769230769228
10453,0.9861333333333333
10460,0.9385421052631578
10452,0.9674470588235294
10456,0.98502
10459,0.9810722222222221
10465,0.6644533333333335
10462,0.8349000000000002
10474,0.9886666666666667
10461,0.7637315789473684
10457,0.9866999999999999
10458,0.9265368421052631
10468,0.9263555555555555
10463,0.7347263157894736
10469,0.7642407407407407
10471,0.66131
10475,0.8423499999999999
10467,0.958425
10466,0.7867260869565217
10470,0.7158333333333333
10464,0.6481
11201,0.40473333333333333
11220,0.8277633333333333
11232,0.7455555555555554
11205,0.6218062499999999
11217,0.4445875
11209,0.5494444444444444
11231,0.3555083333333333
11219,0.8080821428571429
11215,0.3370857142857143
11228,0.6155047619047619
11238,0.516
11214,0.7512029411764706
11218,0.711792
11204,0.7414677419354839
11225,0.6540874999999999
11216,0.6407739130434783
11206,0.7802199999999998
11221,0.76919375
11213,0.8132157894736843
11233,0.8018409090909091
11223,0.7390838709677419
11224,0.7860583333333334
11235,0.6548107142857142
11212,0.867436
11207,0.8686684210526315
11237,0.8114071428571429
11230,0.7303314285714286
11211,0.49777333333333335
11222,0.3140125
11226,0.7600857142857144
11210,0.6454939393939394
11229,0.6147375
11234,0.4676488372093024
11236,0.5936046511627907
11203,0.7014540540540541
11239,0.81555
11208,0.8290645161290324
11004,0.28657894736842104
11429,0.42816666666666664
11411,0.3866807692307692
10002,0.7796466666666666
10004,0.17884
10005,0.1924
10038,0.6697999999999998
10006,0.1084
10007,0.3918714285714286
10009,0.6236100000000001
10013,0.40563333333333335
10003,0.3235692307692307
10012,0.37302222222222226
10014,0.22982222222222223
10010,0.34991000000000005
10011,0.33908333333333335
10016,0.32327500000000003
10001,0.3733285714285714
10017,0.16948000000000002
10018,0.3578
10036,0.37438181818181815
10022,0.19362666666666667
10019,0.36842631578947377
10021,0.23916363636363636
10065,0.2344875
10075,0.22067777777777778
10028,0.20322727272727273
10128,0.30437272727272724
10023,0.28517000000000003
10069,0.37589999999999996
10029,0.8285374999999999
10024,0.39325294117647064
10025,0.5248285714285715
10035,0.9187800000000002
10026,0.6610636363636362
10027,0.6475823529411765
10037,0.7938571428571429
10031,0.8199363636363636
10039,0.7741571428571429
10030,0.7570874999999999
10032,0.8657916666666666
10044,0.6856
10033,0.7876444444444445
10040,0.76769
10034,0.7387125
10280,0.18824999999999997
10282,0.2219
11101,0.6326149999999999
11109,0.2975
11421,0.6773133333333333
11418,0.6975631578947369
11416,0.7176000000000001
11106,0.621125
11417,0.7086538461538463
11103,0.49914210526315783
11414,0.5373
11102,0.48381538461538465
11419,0.682978947368421
11420,0.6754800000000001
11105,0.38523571428571435
11370,0.5825888888888888
11415,0.5840888888888889
11377,0.5964117647058822
11104,0.5368636363636363
11436,0.65547
11434,0.6520375
11435,0.7347454545454546
11378,0.5267285714285714
11433,0.7790133333333333
11432,0.737490909090909
11372,0.7162799999999999
11373,0.7278560000000001
11413,0.49254285714285717
11369,0.7780153846153847
11412,0.5575954545454546
11368,0.8565454545454544
11423,0.6405666666666666
11375,0.49440400000000007
11427,0.5802818181818182
11428,0.5519285714285714
11374,0.5670437500000001
11379,0.37905263157894736
11385,0.5247942857142857
11426,0.5698571428571428
11422,0.41983333333333334
11367,0.7004636363636364
11366,0.5380875
11355,0.7303399999999999
11354,0.7207157894736842
11357,0.4932714285714286
11356,0.6175285714285713
11697,0.2466
11694,0.4777666666666667
11693,0.620375
11692,0.9066285714285713
11691,0.9063249999999999
11360,0.37481666666666663
11358,0.4789454545454545
11361,0.4698866666666667
11365,0.5727
11364,0.4241428571428572
11362,0.48340000000000005
11363,0.29610000000000003
10301,0.5975444444444445
10304,0.6727214285714286
10305,0.6058133333333333
10310,0.5176363636363637
10306,0.37866875
10308,0.26975000000000005
10302,0.5418499999999999
10312,0.23349411764705882
10314,0.410404
10307,0.215775
10309,0.20871250000000002
10303,0.6947583333333335
