FID,NAMELSAD10,State,County,Region,Pop_T,PopDense,Prcnt_U18,Under18,Prcnt_65O,Over65,Prcnt_HHBM,HH_Below50,Prcnt_Lng,PoorEng,Minority,Non_white,Occ_HU,HU,Prcnt_Rent,Renters,Prcnt_NoCa,HH_NoCar,Employment,SV_Index2
27,Census Tract 146.05,New York,Richmond,NYC,3836,17.58713,0.235662,903.999432,0.160323,614.999028,0.279,379.161,0.043,154.585,0.881908,3382.999088,0.947257,1359,0.085578,116.300502,0.030375,41.279625,212,0.332888
28,Census Tract 96.01,New York,Richmond,NYC,4024,20.980305,0.159791,642.998984,0.250746,1009.001904,0.526,742.712,0.187,667.59,0.787525,3169.0006,0.962193,1412,0.318221,449.328052,0.084609,119.467908,1961,0.409511
29,Census Tract 96.02,New York,Richmond,NYC,3461,22.674394,0.207166,717.001526,0.152557,527.999777,0.379,500.28,0.166,503.478,0.779255,2697.001555,0.938761,1320,0.349172,460.90704,0.106376,140.41632,415,0.384786
30,Census Tract 97,New York,Richmond,NYC,3925,14.575476,0.294268,1155.0019,0.08051,316.00175,0.323,402.135,0.059,175.348,0.383694,1505.99895,0.911296,1245,0.306743,381.895035,0.073758,91.82871,759,0.304033
31,Census Tract 105,New York,Richmond,NYC,5153,25.533587,0.27615,1423.00095,0.09936,512.00208,0.367,646.654,0.156,719.784,0.402678,2074.999734,0.931794,1762,0.421236,742.217832,0.091858,161.853796,1227,0.343259
32,Census Tract 112.01,New York,Richmond,NYC,5758,14.235487,0.214658,1236.000764,0.121049,697.000142,0.349,680.201,0.21,1189.02,0.788642,4541.000636,0.948284,1949,0.159852,311.551548,0.024567,47.881083,505,0.352006
33,Census Tract 112.02,New York,Richmond,NYC,6428,12.816873,0.221531,1424.001268,0.112166,721.003048,0.33,730.29,0.191,1109.519,0.736154,4731.997912,0.936959,2213,0.14912,330.00256,0.06096,134.90448,943,0.342236
34,Census Tract 114.01,New York,Richmond,NYC,3067,23.556022,0.212912,653.001104,0.140202,429.999534,0.544,738.752,0.14,425.74,0.564069,1729.999623,0.959942,1358,0.531358,721.584164,0.12953,175.90174,450,0.402752
35,Census Tract 114.02,New York,Richmond,NYC,3450,24.101441,0.194203,670.00035,0.153333,528.99885,0.442,562.666,0.15,451.65,0.762319,2630.00055,0.94172,1273,0.307668,391.661364,0.05112,65.07576,409,0.375295
36,Census Tract 121,New York,Richmond,NYC,3065,16.718349,0.222512,681.99928,0.153018,469.00017,0.326,382.724,0.029,91.35,0.868515,2661.998475,0.968591,1174,0.127278,149.424372,0.028858,33.879292,497,0.340472
37,Census Tract 122,New York,Richmond,NYC,3813,18.640021,0.219512,836.999256,0.140834,537.000042,0.358,503.706,0.024,80.16,0.855494,3261.998622,0.936849,1407,0.196111,275.928177,0.032046,45.088722,695,0.345356
38,Census Tract 125,New York,Richmond,NYC,2939,25.983117,0.277986,817.000854,0.090847,266.999333,0.491,463.013,0.103,286.649,0.398435,1171.000465,0.918367,943,0.39348,371.05164,0.112282,105.881926,185,0.348175
39,Census Tract 128.04,New York,Richmond,NYC,4259,19.044201,0.214839,914.999301,0.116224,494.998016,0.369,519.921,0.206,788.156,0.781404,3327.999636,0.894242,1409,0.182388,256.984692,0.020265,28.553385,664,0.348045
40,Census Tract 132.01,New York,Richmond,NYC,1558,13.426624,0.217587,339.000546,0.199615,311.00017,0.347,206.465,0.1,133.5,0.885109,1378.999822,0.964942,595,0.104816,62.36552,0.00779,4.63505,243,0.353357
41,Census Tract 146.06,New York,Richmond,NYC,6372,14.577232,0.210923,1344.001356,0.097928,623.997216,0.176,425.04,0.13,942.24,0.865976,5517.999072,0.952655,2415,0.102084,246.53286,0.017014,41.08881,2173,0.319073
42,Census Tract 133.01,New York,Richmond,NYC,1633,98.140967,0.356399,581.999567,0.102878,167.999774,0.896,536.704,0.106,148.612,0.052051,84.999283,0.924409,599,0.989268,592.571532,0.320076,191.725524,2,0.468385
43,Census Tract 133.02,New York,Richmond,NYC,3587,17.234405,0.33036,1185.00132,0.05269,188.99903,0.491,502.293,0.174,566.544,0.106496,382.001152,0.88,1023,0.463099,473.750277,0.103793,106.180239,984,0.32518
44,Census Tract 134,New York,Richmond,NYC,3946,18.771125,0.198682,783.999172,0.179422,707.999212,0.302,476.858,0.142,527.246,0.806893,3183.999778,0.957036,1579,0.285281,450.458699,0.03743,59.10197,1594,0.363593
45,Census Tract 138,New York,Richmond,NYC,6535,18.790223,0.220046,1438.00061,0.183474,1199.00259,0.333,702.963,0.036,203.436,0.884468,5779.99838,0.958096,2111,0.117378,247.784958,0.025068,52.918548,225,0.344691
46,Census Tract 141,New York,Richmond,NYC,2690,34.862668,0.272862,733.99878,0.0829,223.001,0.521,524.126,0.223,593.18,0.356877,959.99913,0.942623,1006,0.390759,393.103554,0.051218,51.525308,174,0.355155
47,Census Tract 277.04,New York,Richmond,NYC,4108,31.48421,0.211295,867.99986,0.109056,448.002048,0.275,374.825,0.124,512.74,0.707644,2907.001552,0.892132,1363,0.198206,270.154778,0.026903,36.668789,164,0.318029
48,Census Tract 208.04,New York,Richmond,NYC,5323,16.188702,0.204396,1087.999908,0.151982,809.000186,0.195,352.95,0.066,337.656,0.893669,4757.000087,0.949729,1810,0.095765,173.33465,0.030172,54.61132,214,0.323339
49,Census Tract 147,New York,Richmond,NYC,3412,8.254253,0.192263,656.001356,0.177902,607.001624,0.214,295.32,0.012,39.792,0.84027,2867.00124,0.929134,1380,0.181365,250.2837,0.054791,75.61158,669,0.325215
50,Census Tract 151,New York,Richmond,NYC,5141,20.716523,0.231667,1191.000047,0.160669,825.999329,0.253,516.12,0.033,158.796,0.79965,4111.00065,0.957355,2040,0.224924,458.84496,0.083967,171.29268,509,0.343029
51,Census Tract 154,New York,Richmond,NYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
52,Census Tract 156.01,New York,Richmond,NYC,6330,17.91394,0.221959,1405.00047,0.175987,1113.99771,0.329,771.505,0.036,213.912,0.901422,5706.00126,0.954073,2345,0.134236,314.78342,0.047953,112.449785,943,0.350079
53,Census Tract 156.02,New York,Richmond,NYC,3320,15.248797,0.226807,752.99924,0.203916,677.00112,0.271,304.875,0.027,79.92,0.913554,3032.99928,0.960199,1125,0.070577,79.399125,0.027393,30.817125,289,0.337556
54,Census Tract 156.03,New York,Richmond,NYC,4265,16.020679,0.200234,853.99801,0.108558,462.99987,0.25,411.5,0.104,453.96,0.873388,3724.99982,0.928778,1646,0.109978,181.023788,0.042299,69.624154,719,0.327155
55,Census Tract 169.01,New York,Richmond,NYC,2970,15.081131,0.219192,651.00024,0.152189,452.00133,0.396,464.904,0.114,351.462,0.70404,2090.9988,0.953752,1174,0.290463,341.003562,0.026095,30.63553,693,0.356966
56,Census Tract 170.10,New York,Richmond,NYC,8583,31.269006,0.220086,1888.998138,0.09379,804.99957,0.184,549.792,0.076,623.352,0.79774,6847.00242,0.964482,2988,0.080647,240.973236,0.005965,17.82342,360,0.302839
57,Census Tract 173,New York,Richmond,NYC,2523,29.747833,0.231867,585.000441,0.153389,387.000447,0.62,558,0.114,252.966,0.395561,998.000403,0.97817,900,0.500215,450.1935,0.170889,153.8001,96,0.395511
58,Census Tract 176,New York,Richmond,NYC,4815,5.763294,0.220561,1062.001215,0.124611,600.001965,0.308,491.876,0.047,213.85,0.88972,4284.0018,0.936932,1597,0.121353,193.800741,0.008245,13.167265,575,0.332053
59,Census Tract 177,New York,Richmond,NYC,7001,7.982104,0.216112,1513.000112,0.193544,1355.001544,0.243,576.882,0.09,631.35,0.788173,5517.999173,0.954905,2374,0.063218,150.079532,0.019841,47.102534,499,0.321099
60,Census Tract 187.01,New York,Richmond,NYC,1807,19.149747,0.218594,394.999358,0.123409,223.000063,0.18,112.5,0.091,153.153,0.675152,1219.999664,0.959215,625,0.232955,145.596875,0.022727,14.204375,229,0.312881
61,Census Tract 187.02,New York,Richmond,NYC,7485,29.804741,0.209352,1566.99972,0.207482,1553.00277,0.346,732.828,0.139,960.073,0.559519,4187.999715,0.950951,2118,0.317012,671.431416,0.046139,97.722402,1454,0.346932
