FIPS,RPL_THEMES,COUNTY,ZCTA5,modzcta
36005017701,0.9984,Bronx,10456,10456
36005017702,0.9914,Bronx,10456,10456
36005017901,0.9849,Bronx,10456,10456
36005017902,0.9819,Bronx,10456,10456
36005018101,0.9822,Bronx,10456,10456
36005018102,0.9973,Bronx,10456,10456
36005018301,0.9142,Bronx,10451,10451
36005018302,0.9195,Bronx,10451,10451
36005018302,0.9195,Bronx,10456,10456
36005018400,0.5738,Bronx,10461,10461
36005018500,0.9977,Bronx,10456,10456
36005018900,0.9892,Bronx,10452,10452
36005019300,0.9825,Bronx,10452,10452
36005019400,0.9067,Bronx,10461,10461
36005019400,0.9067,Bronx,10465,10465
36005019500,0.9933,Bronx,10452,10452
36005019700,0.9455,Bronx,10452,10452
36005019900,0.9652,Bronx,10452,10452
36005020000,0.961,Bronx,10461,10461
36005020100,0.9932,Bronx,10452,10452
36005020200,0.9536,Bronx,10461,10461
36005020200,0.9536,Bronx,10462,10462
36005020400,0.86,Bronx,10461,10461
36005020400,0.86,Bronx,10462,10462
36005020501,0.9923,Bronx,10453,10453
36005020502,0.9998,Bronx,10453,10453
36005020601,0.8212,Bronx,10462,10462
36005020900,0.8615,Bronx,10452,10452
36005021001,0.7984,Bronx,10462,10462
36005021002,0.7799,Bronx,10462,10462
36005021100,0.9938,Bronx,10452,10452
36005021200,0.7734,Bronx,10462,10462
36005021301,0.9461,Bronx,10452,10452
36005021302,0.9801,Bronx,10452,10452
36005021501,0.997,Bronx,10453,10453
36005021502,0.9968,Bronx,10453,10453
36005021601,0.9623,Bronx,10460,10460
36005021601,0.9623,Bronx,10462,10462
36005021602,0.8554,Bronx,10462,10462
36005021700,0.9966,Bronx,10452,10452
36005021700,0.9966,Bronx,10453,10453
36005021800,0.9777,Bronx,10460,10460
36005021900,0.9862,Bronx,10452,10452
36005022000,0.9992,Bronx,10460,10460
36005022000,0.9992,Bronx,10462,10462
36005022101,0.9646,Bronx,10452,10452
36005022102,0.9831,Bronx,10452,10452
36005022200,0.9079,Bronx,10462,10462
36005022300,0.9665,Bronx,10452,10452
36005022401,0.8466,Bronx,10462,10462
36005022403,0.9051,Bronx,10462,10462
36005022404,0.7616,Bronx,10462,10462
36005022500,0.9927,Bronx,10456,10456
36005022500,0.9927,Bronx,10457,10457
36005022701,0.9976,Bronx,10453,10453
36005022702,0.9284,Bronx,10452,10452
36005022703,0.925,Bronx,10457,10457
36005022800,0.8968,Bronx,10462,10462
36005022901,0.958,Bronx,10457,10457
36005022902,0.9981,Bronx,10457,10457
36005023000,0.9124,Bronx,10462,10462
