Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Civilian Employed Population 16 Years and Over in Households - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have a Computer,Total Civilian Household Population 16 Years and Over,Total Civilian Household Population 16 Years and Over - Margin of Error,Population 16 Years and Over in the Civilian Labor Force in Households,Population 16 Years and Over in the Civilian Labor Force in Households - Margin of Error,Civilian Employed Population 16 Years and Over in Households,Civilian Employed Population 16 Years and Over in Households that Have a Computer - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone,Civilian Employed Population 16 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription - Margin of Error,Civilian Employed Population 16 Years and Over in Households that Have No Computer,Civilian Employed Population 16 Years and Over in Households that Have No Computer - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households,Civilian Unemployed Population 16 Years and Over in Households - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with dial-up Internet Subscription Alone,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with dial-up Internet Subscription Alone - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription - Margin of Error,Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Civilian Unemployed Population 16 Years and Over in Households that Have No Computer - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households,Population 16 Years and Over in Households who are Not in the Labor Force in Households - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with dial-up Internet Subscription Alone,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with dial-up Internet Subscription Alone - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with a Broadband Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with a Broadband Internet Subscription - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer without an Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer without an Internet Subscription - Margin of Error,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have No Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have No Computer - Margin of Error,Population 16 Years and Over in Households that Have No Computer,Population 16 Years and Over in Households that Have No Computer - Margin of Error,Percent of Civilian Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Population 16 Years and Over in Households that Have No Computer - Margin of Error,Percent of Civilian Employed Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Employed Population 16 Years and Over in Households that Have No Computer - Margin of Error,Percent of Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Unemployed Population 16 Years and Over in Households that Have No Computer - Margin of Error,Percent of Population 16 Years and Over who are Not in the Labor Force in Households that Have No Computer,Percent of Population 16 Years and Over who are Not in the Labor Force in Households that Have No Computer - Margin of Error,Shape Area,Shape Length
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,11853,5807186,10006840,2002,6444763,10613,6076038,13034,24414,1244,5445606,15853,337166,6407,268852,3880,368725,4996,342101,5069,1585,231,303170,4457,37346,1917,26624,1334,3562077,10472,2867091,9989,32366,1241,2562828,9172,271897,5432,694986,5802,990462,7106,9.9,0.0709838133662153,4.4,0.0632713210018438,7.2,0.34830802752197,19.5,0.152448978299942,205470650971.238,2099403.10040633
40,01219835,44,RI,Rhode Island,2677779902,1323670487,3035,499175,829777,696,550041,2918,516799,3403,1032,258,473100,3604,25043,1445,17624,1258,33242,1211,31116,1137,46,48,28412,1116,2658,451,2126,361,279736,2890,228905,3080,1382,307,209337,3070,18186,1280,50831,1930,70581,2332,8.5,0.280948785872161,3.4,0.242596269851546,6.4,1.06068828938584,18.2,0.663905171093004,5138826412.45703,684858.781468928
41,01779799,45,SC,South Carolina,77864918488,5075218778,7747,2085950,3832339,1824,2355679,7383,2205731,8120,6479,722,1858466,10010,221005,5922,119781,3350,149948,3453,133219,3220,562,181,110763,3179,21894,1273,16729,1061,1476660,7280,1200856,6078,8243,736,1037616,6326,154997,3699,275804,4586,412314,5778,10.8,0.150682560600893,5.4,0.15067473159879,11.2,0.659290141332147,18.7,0.296600962807597,117400772448.367,1913780.73006024
42,01785534,46,SD,South Dakota,196346981786,3382720225,2237,411701,638225,675,447898,2256,433172,2400,2044,364,377942,2721,31715,1428,21471,1167,14726,754,12402,705,53,53,10298,630,2051,279,2324,344,190327,2215,148220,2171,1370,211,130118,2151,16732,751,42107,1284,65902,1769,10.3,0.276959751782172,5,0.268189179305659,15.8,2.19179665494842,22.1,0.623564350829347,391981981880.488,2963038.79879796
43,01325873,47,TN,Tennessee,106802728188,2350123465,8800,2850727,5152171,1839,3211371,8044,3024340,10428,7721,723,2580181,12875,262825,5915,173613,4157,187031,3447,162701,3335,498,141,134902,2956,27301,1501,24330,1223,1940800,7840,1545851,6815,13091,971,1341416,7011,191344,4342,394949,4618,592892,6333,11.5,0.122850409196086,5.7,0.13643279113637,13,0.608365669068368,20.3,0.223292071449038,166479132010.395,2621414.14746378
44,01779801,48,TX,Texas,676653171537,19006305260,17495,12231354,20743224,4442,13661753,17459,12930694,22630,29506,1676,11028843,30984,1173005,15178,699340,11063,731059,7681,674199,7359,1927,373,583457,6743,88815,2670,56860,2209,7081471,17031,6058882,15459,33560,1636,5285686,17170,739636,10994,1022589,9697,1778789,14876,8.6,0.0716914707854437,5.4,0.085242622967415,7.8,0.290904498281549,14.4,0.132457660824713,948772603667.359,8498747.68231443
45,01455989,49,UT,Utah,212886221680,6998824394,4363,1414072,2175344,1194,1497586,3980,1440009,4715,3586,494,1302909,5540,107577,3416,25937,1492,57577,2125,55201,2061,144,71,48483,1902,6574,620,2376,399,677758,4130,625167,4118,5066,492,565926,4481,54175,2083,52591,1913,80904,2459,3.7,0.113021159153153,1.8,0.103466644304344,4.1,0.676041561913191,7.8,0.278265417621576,368286055480.023,2557182.52571818
46,01779802,50,VT,Vermont,23874175944,1030416650,1795,309635,496103,463,334593,1798,321514,2011,1656,217,285533,2335,22446,1173,11879,789,13079,735,12006,654,70,45,10251,637,1685,326,1073,236,161510,1846,134724,1933,1502,224,119453,1741,13769,892,26786,1074,39738,1353,8,0.272623149851712,3.7,0.244532981738807,8.2,1.74452622039978,16.6,0.637384359007209,48272262368.6875,1281146.38406649
47,01779803,51,VA,Virginia,102257717110,8528531774,7908,3935169,6436535,2930,4296700,7576,4085255,9776,10878,1024,3654430,12987,269861,6212,150086,4357,211445,4052,197169,3870,516,195,174291,3671,22362,1184,14276,1185,2139835,7714,1817785,7675,14870,1085,1632101,7256,170814,4179,322050,4185,486412,6156,7.6,0.095579634424065,3.7,0.10641448114451,6.8,0.545289720060163,15.1,0.187899611290281,167393387789.438,3720009.40071729
48,01779804,53,WA,Washington,172112588220,12559278850,6961,3409114,5666600,2158,3686916,5971,3494923,8377,8467,1043,3239233,8928,161414,3809,85809,2948,191993,3637,183638,3662,670,211,168209,3366,14759,1175,8355,691,1979684,6208,1779706,6936,13484,840,1637722,6992,128500,3707,199978,3855,294142,4902,5.2,0.0864843107852373,2.5,0.0842090540798562,4.4,0.350340830456656,10.1,0.192134298760973,383121257587.906,5712576.49965079
49,01779805,54,WV,West Virginia,62266474513,489028543,4275,692851,1450821,1063,789168,4191,736767,4636,2614,392,631493,4960,58744,2322,43916,1831,52401,1986,46417,1780,185,79,39513,1629,6719,760,5984,685,661653,4108,511352,4363,4253,556,446139,4366,60960,1809,150301,2603,200201,3255,13.8,0.224127799119782,6,0.246099793291106,11.4,1.23350017006358,22.7,0.367258813593814,103045995644.488,2614070.38582527
50,01779806,55,WI,Wisconsin,140290039723,29344951758,6006,2815970,4490889,1056,3055773,5505,2933820,6705,13218,762,2629501,7324,173251,3162,117850,2459,121953,2448,111788,2326,559,114,98061,2321,13168,875,10165,665,1435116,5511,1170080,5768,16637,747,1045077,5513,108366,2381,265036,2636,393051,3666,8.8,0.0816059978537834,4,0.0834112595241959,8.3,0.518988665251616,18.5,0.169435325355968,287412766182.25,3531267.26152137
51,01779807,56,WY,Wyoming,251458544898,1867670745,2035,277934,442863,666,301210,1882,287949,2304,1342,348,253777,2674,22815,1411,10015,862,13261,946,12454,888,82,66,10621,849,1751,317,807,197,141653,1821,122870,1881,1288,299,107903,1799,13679,1063,18783,1108,29605,1418,6.7,0.320031453936982,3.5,0.298347731193749,6.1,1.42071243378109,13.3,0.763393297710938,474197554689.898,2777134.58728037
52,01779808,72,PR,Puerto Rico,8868896030,4922382562,5896,862924,2754437,1516,1235094,5813,1026147,5918,10732,1305,746316,6858,105876,2922,163223,3582,208947,3550,155285,3066,1249,318,127750,2726,26286,1557,53662,1900,1519343,5723,908694,5540,12051,1105,740887,6000,155756,3777,610649,5891,827534,7152,30,0.259126733754597,15.9,0.336895941879533,25.7,0.797793732860593,40.2,0.356955952927551,9987439695.85156,764185.625731979
