modzcta,community-healthcare-centers,diagnostic-treatment-centers,long-term-care-facilities,hospitals,avg
10472,2638.0417505908035,4339.6574014613425,6725.552461566006,3414.0728970724585,4279.331127672653
10473,4151.690453744523,4896.750404026516,7147.089420671577,4188.79649406023,5096.081693125711
10474,3803.5603096087125,2629.7645968815455,4834.7215657522,3428.490925067544,3674.134349327501
10475,2829.3576764897134,8814.329125676428,12232.622328044401,2383.230564385148,6564.884923648922
11004,8992.825921633908,17733.45600658868,19697.00610491038,8710.169617584057,13783.364412679255
11101,2349.818979982552,5613.592372233218,2610.696679528807,5274.330101348512,3962.109533273272
11102,2491.9012305104097,4266.314006867419,1404.1139097173523,4821.437734099078,3245.9417202985646
11103,1052.6538011162995,5284.879876482467,2588.0524912794112,4084.7717655188944,3252.5894835992676
11104,1270.2141416078296,6700.507081195556,3415.886318488954,3698.6190289752376,3771.306642566894
11105,2863.6750415557094,3553.0846003496354,3186.3947080084704,4494.41836598547,3524.3931789748212
11106,2027.9724164561105,5159.593806354905,1307.0566867471284,5299.156646045357,3448.4448889008754
11109,1855.9488696496987,4502.320132439778,2960.4914405719655,5342.9070639005495,3665.416876640498
11201,708.4303788023725,1080.9782934117372,2062.392200977272,3993.0484396253496,1961.2123282041828
11203,2585.6510247834067,4125.606591922595,1206.182058439571,1101.163037519991,2254.6506781663907
11204,2938.8870843523264,7876.2518858728945,5898.290821625537,4022.984191290648,5184.103495785352
11205,1375.1193770101856,900.6156122147199,2749.692742837992,2050.4112208304546,1768.9597382233378
11206,465.991804093741,3005.9600847135002,4037.9944117529208,293.4042684754646,1950.8376422589067
11207,1579.0230779563306,145.29648426619465,4073.8010613143274,4447.399373277104,2561.379999203489
11208,3403.0952478166178,2084.273380260914,5910.755406671403,6249.131351479102,4411.813846557009
11209,6312.263894681299,4058.0935148413523,8682.564347693247,6806.1162927962705,6464.759512503042
11210,2825.4633145527573,6491.792784364571,3522.0904897017745,3174.978859419017,4003.5813620095305
11211,768.82041697991,2746.390758794295,2912.532887388885,1707.5335134825498,2033.81939416141
11212,253.51245360895192,1794.6006158172468,2320.7070583074133,2666.6496564646573,1758.8674460495672
11213,269.0459600559286,3469.28744645052,1321.9422426724527,1709.605033002935,1692.4701705454588
11214,2664.2740649576003,7297.334093485807,8253.173257176104,3012.478266298564,5306.814920479518
11215,3278.3984220053276,3737.830551346603,3970.558146454326,3728.963718588669,3678.9377095987315
11216,867.6610641657065,2829.088049059542,2486.543360132876,2133.926457051255,2079.3047326023448
11217,1067.1770179402358,1446.5084296161576,3484.5080878716312,3622.2208268067006,2405.1035905586814
11218,4712.185887884814,5754.405094510906,3523.905475234801,3120.8403614398817,4277.834204767601
11219,4690.067146638159,7020.314572391416,5638.540687870213,5230.753093742899,5644.918875160672
11220,6342.275222103008,5708.463055156731,6778.743726819816,6415.352145915009,6311.20853749864
11221,851.8229268735638,3502.384405075507,3680.5638479202917,1538.6037119119358,2393.3437229453248
11222,589.9051014006517,3796.358025299523,3796.358025299523,3241.2519231570013,2855.9682687891745
11223,1638.5900624425199,9191.27633086578,7475.964959523727,1446.1471137891037,4937.994616655282
11224,254.70480470060653,8948.497161647178,10074.691957716137,2255.895533865164,5383.447364482272
11225,1947.8815088428519,4058.752303349073,1257.5676938027575,1153.6076964383235,2104.4523006082513
11226,3483.4231646039634,5685.804590003514,2016.8203229109856,1591.2623094497812,3194.327596742061
11228,5023.397827619984,5496.96896194815,7790.806561098113,5324.968640620952,5909.035497821799
11229,1032.739138457214,8881.460925194044,6489.982485686813,2419.1020903918857,4705.8211599324895
11230,2170.0556331238795,8079.602915323732,4656.888091233551,4026.1650032398297,4733.177910730248
11231,2467.368709365298,3054.383962421959,4192.395117149469,5654.228378861137,3842.094041949466
11232,4439.031100581799,4986.70357211193,5529.412739992311,5231.318902096068,5046.616578695527
11233,1435.5014770008736,2201.495895277434,2693.8184087020786,3028.8972098214176,2339.9282477004513
11234,3859.564655525465,7316.023594658548,6336.890744169471,5145.41657125631,5664.473891402449
11235,2280.3563553796284,10792.662857414372,8434.643874953814,1304.944526909162,5703.151903664245
11236,2860.8780801255352,3573.9355699069406,3921.4583121577784,4005.9976558590715,3590.5674045123314
11237,1073.5372354602987,4189.411761367543,5215.998464588112,1923.3558813841512,3100.5758357000263
11238,2040.7305900723447,2100.7659822052447,2964.386193596729,2859.5108371115516,2491.3484007464676
11239,3086.438162426298,2912.7695455621483,5057.067147540293,5262.217754412006,4079.6231524851864
11354,4103.250812878229,8781.633805360247,9718.406559663166,5410.294604269402,7003.396445542761
11355,4123.894303947655,10318.157855502845,10456.280288457345,3938.2080199441857,7209.135116963007
11356,4266.3595839894015,6869.159236054353,8640.252665886572,5999.095158248137,6443.716661044616
11357,6268.301752898812,9231.154093403684,11132.78631189028,7620.6840383159515,8563.231549127182
11358,6278.918256874935,11489.809469327058,12371.467441240215,4801.754163619451,8735.487332765415
11360,8295.220090621911,11812.038584834008,13696.2349898826,7439.835216918234,10310.832220564189
11361,7036.907037948993,13151.718255656338,14362.78782008141,5833.49398599155,10096.226774919574
11362,7908.518376200196,16223.535126606304,17404.386021802777,7243.962396134039,12195.100480185829
11363,8887.830588465045,14881.670648695626,16538.136611165886,7910.332883744333,12054.492683017723
11364,5676.557900499279,14004.999329395849,15597.861049871297,4902.528251269813,10045.486632759059
11365,3998.0795831383643,11359.742668908439,12912.63867260605,2612.131338048862,7720.648065675428
11366,2973.088486808407,11226.679192437397,14092.656035460042,2115.7265855194755,7602.03757505633
11367,3261.299225149219,8734.06337419241,10759.027178430137,2203.121963060997,6239.37793520819
11368,1715.296379519266,8581.934831237415,7919.936007025976,2436.3127525124137,5163.369992573768
11369,1635.050424776823,5838.450507029092,5870.17709360844,3435.7976518793657,4194.86891932343
11370,2717.4865543438973,4512.418552282182,4681.708987009607,4257.133111078074,4042.18680117844
11372,1025.113932683049,7035.4788185182515,5372.67897196238,1593.4924519247807,3756.6910437721153
11373,1272.8838241170738,7572.322844211605,6429.64454446637,128.10012706875395,3850.7378349659507
11374,938.8474801010204,6702.853110658124,8392.300178189587,1862.8541784488998,4474.213736849408
11375,2167.133195373934,6852.353805890409,9804.306808476169,3249.6073814931747,5518.350297808422
11377,1050.2156822037593,7308.655424359827,4233.127626261592,2470.6563693344924,3765.6637755399174
11378,2437.5462881522863,5996.190480368582,5781.289433976475,3098.1874039836775,4328.3034016202555
11379,2354.208213680675,5161.26146080491,7972.744224619202,2387.8628911031738,4469.01919755199
11385,1306.1466992198746,3273.022723807425,6252.571291808094,4265.0071384195935,3774.1869633137467
11411,2873.697811845635,13694.471290182699,17679.16175387763,6477.60388023195,10181.23368403448
11412,2509.0842366069132,11887.445996037795,15899.150271917832,4544.134531624142,8709.953759046672
11413,600.313031283019,12217.963991823159,16043.540460016786,7095.738943261068,8989.389106596007
11414,5641.052470230729,4519.12431541381,8047.827540386457,7391.258873525692,6399.815799889173
11415,2413.132836108444,6970.4681571327665,10901.06623733845,2149.932340663607,5608.649892810817
11416,4691.237266322579,4121.974642827349,8148.090189876207,5206.746432044853,5542.012132767747
11417,4835.886076478251,4324.6041202739325,8296.826615302909,5631.153831741065,5772.117660949039
11418,3058.5182247856114,5918.0265481022925,9888.570049722864,3203.133112140632,5517.06198368785
11419,2564.1768189349964,6400.4083839756595,10423.498856838873,3539.8935878395328,5731.994411897264
11420,3171.6720006883284,6555.645699989256,10456.166547516515,5023.737380788176,6301.805407245569
11421,4072.94558127834,3959.309077857815,7879.652630073204,5146.181919616423,5264.522302206446
11422,2193.5312313291633,13520.16115852999,17253.11559834234,8668.232830877336,10408.760204769707
11423,2976.460014739609,11771.773851337375,15788.424261215041,3187.8101359907864,8431.117065820703
11426,7502.1643111973435,16283.838669707031,18950.151031507514,7366.9451123214385,12525.774781183332
11427,5497.193194622423,14251.538527432576,17181.043181226752,5309.311971941314,10559.771718805767
11428,5164.441255215698,14046.242876503373,17769.37548351035,5407.819206268255,10596.969705374418
11429,4905.635580306654,14469.644695251456,18495.37029460589,6162.191605314408,11008.210543869602
11432,1397.9309142095276,9901.454374318964,13889.229065598372,1133.241957888491,6580.464078003839
11433,1090.3131989997978,9605.533288373885,13629.84575077104,2706.4705768519075,6758.040703749158
11434,2943.306953606381,9609.791164806375,13255.711257489975,7040.16539845753,8212.243693590066
11435,850.0940414838078,7947.616799340513,11965.657719495712,1865.1585438860866,5657.13177605153
11436,1673.6445202127545,8356.522556107971,12266.165497313215,4737.3764436595975,6758.427254323384
11691,8009.689689762031,13774.21000822772,16444.22579997644,13482.00373444379,12927.532308102494
11692,9451.04959541147,12375.678038159978,14542.398948633921,13937.950205465093,12576.769196917616
11693,9958.602467348246,10691.131151423906,12570.22144365829,12594.989484459578,11453.736136722504
11694,9886.798887432707,11312.717448734116,12170.321075737542,10226.68322335168,10899.130158814012
11697,6473.327074166085,12563.872967976753,11497.132088045595,5719.471377663995,9063.450876963107
99999,471.72205487507637,3515.64018769945,4088.83325045647,1162.0193060973181,2309.5536997820786
