MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_RATE,COVID_DEATH_RATE,deathtocase,lat,lng
11222,Greenpoint,2067.91,96.89,0.04685407005140456,40.72829334613771,-73.94755259605311
11223,Gravesend/Homecrest,4078.95,180.39,0.044224616629279595,40.59717024592368,-73.97341797296755
11224,Brighton Beach/Coney Island/Seagate,3749.66,475.46,0.12680082994191474,40.576659517017916,-73.98857569841161
11225,Crown Heights (West)/Prospect Lefferts Gardens,2801.07,252.11,0.0900048909880867,40.66305137467499,-73.95422143383324
11226,Flatbush/Prospect Lefferts Gardens,3138.0,318.42,0.10147227533460804,40.646453298574635,-73.95665220110138
11228,Bath Beach/Dyker Heights,2496.5,200.08,0.0801442018826357,40.61671407445554,-74.01305818179162
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,3259.85,191.54,0.058757304783962454,40.601172460958566,-73.94446565903144
11230,Midwood,4812.73,276.75,0.05750374527555047,40.62216005859092,-73.96509603258895
11231,Carroll Gardens/Cobble Hill/Red Hook,1725.68,96.32,0.055815678457187885,40.67755961189162,-74.00443963081464
11232,Sunset Park,2949.89,166.14,0.05632074416334168,40.65597498355024,-74.00530889943036
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,2424.54,197.78,0.08157423676243741,40.67830428082476,-73.91993060579303
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,3373.52,210.51,0.062400697194621636,40.60701935838563,-73.91074072527178
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,4010.35,400.27,0.09980924358223098,40.58391573901389,-73.94965780432454
11236,Canarsie,3568.88,316.11,0.08857400641097488,40.640002503866185,-73.90145284282501
11237,Bushwick/East Williamsburg,3052.05,235.41,0.0771317638963975,40.704159215684484,-73.92088945828381
11238,Clinton Hill/Prospect Heights,2231.62,194.22,0.08703094612882122,40.6791827282894,-73.96380517537497
11239,East New York,5175.74,721.84,0.13946604736713977,40.64752529183715,-73.8824086907239
11354,Flushing/Murray Hill,3188.12,565.66,0.17742744940591948,40.76863105513385,-73.8272261010682
11355,Flushing/Murray Hill/Queensboro Hill,2486.91,221.93,0.08923925674833429,40.75145721262246,-73.82101405829738
11356,College Point,3607.43,184.1,0.051033561288784536,40.78486951650338,-73.8414922397847
11357,Whitestone,3029.85,273.8,0.09036750994273644,40.78638918927652,-73.81096107062537
11358,Auburndale/Murray Hill,2340.07,127.69,0.054566743729888414,40.760472495272225,-73.79637164361166
11360,Bayside (North),2347.02,147.02,0.06264113641980043,40.78204583148974,-73.78079373868398
11361,Bayside (North)/Bayside (South),2445.91,219.94,0.08992154249338692,40.763743613667245,-73.77242457619421
11362,Douglaston-Little Neck,2430.71,198.88,0.08181971522723813,40.756530762561425,-73.73699482963579
11363,Douglaston-Little Neck,1944.97,74.24,0.03817025455405482,40.77280220289747,-73.7464451418839
11364,Bayside (South)/Oakland Gardens,1955.82,98.07,0.050142651164217567,40.74528081084203,-73.76057668997193
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,2811.82,159.76,0.056817292714327366,40.73977310450363,-73.79480578821781
11366,Fresh Meadows/Hillcrest,3948.44,211.15,0.05347681616030635,40.72813701437008,-73.7849741837065
11367,Kew Gardens Hills/Pomonok,3790.93,169.63,0.04474627597977277,40.730385156912114,-73.82629497101065
11368,Corona/North Corona,5327.55,406.81,0.07635967752531651,40.7495937314295,-73.85260329542645
11369,Airport/East Elmhurst,6173.47,538.25,0.08718759465908152,40.76893997581467,-73.87280933557432
11370,Jackson Heights/Rikers Island,5318.26,204.55,0.038461827740652016,40.77574920586108,-73.88730210770208
11372,Jackson Heights,5583.14,444.94,0.07969350580497712,40.75168229439029,-73.88364569677547
11373,Elmhurst,4735.11,328.4,0.0693542494260957,40.738823903498314,-73.87850425158655
11374,Rego Park,3925.71,251.25,0.06400116157332049,40.72644180449232,-73.86149377582093
11375,Forest Hills,3007.02,266.6,0.0886592041290048,40.720926802249494,-73.84617661502861
11377,Woodside,3832.33,235.58,0.061471741734140856,40.744819077396585,-73.90516233261975
11378,Maspeth,2971.33,207.49,0.06983068188319709,40.72476654961341,-73.90939698665304
11379,Middle Village,3212.64,289.33,0.09005988844065939,40.71675645979241,-73.87959443160914
11385,Glendale/Ridgewood,3098.0,139.94,0.045171078114912847,40.701056490185756,-73.89015779541168
11411,Cambria Heights,3877.8,233.88,0.060312548352158435,40.69420475819578,-73.73600391500403
11412,St. Albans,4115.75,241.49,0.05867460365668469,40.69809628784072,-73.75898428110685
11413,Laurelton/Rosedale,3707.74,240.7,0.06491825208887354,40.66974218916423,-73.75083751013777
11414,Hamilton Beach/Howard Beach/Lindenwood,3818.97,222.16,0.058172753386384286,40.65824696336838,-73.8449414792701
11415,Kew Gardens,4069.3,280.82,0.06900941193817119,40.708321218306054,-73.82820211972506
11416,Ozone Park,4001.57,223.57,0.05587057080096062,40.68465190930699,-73.84955079348924
11417,Ozone Park,3772.39,164.3,0.043553291149642535,40.67645715950206,-73.84452320473754
