Object ID,ZCTA5,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Black or African American Householder","Median Household Income in past 12 months, American Indian and Alaska Native Householder","Median Household Income in past 12 months, Asian Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Householder","Median Household Income in past 12 months, Some Other Race Householder","Median Household Income in past 12 months, 2 or More Races Householder","Median Household Income in past 12 months, Non-Hispanic White Householder","Median Household Income in past 12 months, Hispanic or Latino Householder",Total Households,Households with any self-employment income in past 12 months,Households with no self-employment income in past 12 months,Percent of households with any self-employment income,Shape Area,Shape Length
48189,10472,36005004400,265578,0,Census Tract 44,New York,Bronx County,20884.0,15912.0,33750.0,17794.0,14773.0,16198.0,,,,21563.0,31081.0,,21702.0,1641.0,91.0,1550.0,5.5,464282.89453125,3470.90034546296
48190,10473,36005004600,135340,0,Census Tract 46,New York,Bronx County,32750.0,,,39408.0,24712.0,44219.0,,,,,,,21438.0,706.0,27.0,679.0,3.8,236569.76953125,2111.29685395732
48191,10472,36005004800,150832,0,Census Tract 48,New York,Bronx County,33644.0,,31910.0,39178.0,21438.0,40882.0,19013.0,,,36958.0,66389.0,,35132.0,1407.0,187.0,1220.0,13.3,263686.09375,2196.83539786601
48192,10472,36005005001,97889,0,Census Tract 50.01,New York,Bronx County,24619.0,14779.0,36688.0,19745.0,24485.0,33882.0,,,,21985.0,,,22339.0,1565.0,122.0,1443.0,7.8,171121.546875,1694.28415675302
48193,10472,36005005002,113902,0,Census Tract 50.02,New York,Bronx County,26534.0,,30047.0,32292.0,16026.0,32297.0,,,,24205.0,,,26023.0,1871.0,149.0,1722.0,8.0,199128.2578125,1829.0518695212197
48194,10451,36005005100,510448,0,Census Tract 51,New York,Bronx County,16844.0,,27879.0,16586.0,11280.0,20000.0,,,,15945.0,21397.0,,15847.0,2083.0,21.0,2062.0,1.0,859020.8671875,5328.35354699498
48195,10472,36005005200,182689,0,Census Tract 52,New York,Bronx County,20833.0,,,18088.0,17400.0,16181.0,,,,25865.0,2499.0,,22500.0,834.0,24.0,810.0,2.9,319367.328125,2323.6470263414103
48196,10453,36005005300,68745,3852,Census Tract 53,New York,Bronx County,16210.0,,18140.0,14640.0,30469.0,17258.0,,,,,30125.0,,15703.0,1591.0,60.0,1531.0,3.8,117559.46875,1676.8115877299801
48197,10472,36005005400,196516,0,Census Tract 54,New York,Bronx County,34167.0,,36767.0,45000.0,28929.0,37396.0,48056.0,,,31972.0,,,32278.0,1782.0,266.0,1516.0,14.9,343582.0546875,2566.93009285853
48198,10472,36005005600,136188,0,Census Tract 56,New York,Bronx County,22750.0,,43250.0,,13162.0,57083.0,,,,18056.0,,,16875.0,872.0,82.0,790.0,9.4,238126.6875,2001.16133017345
