Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Civilian Employed Population 16 Years and Over in Households that Have a Computer,Total Civilian Household Population 16 Years and Over,Population 16 Years and Over in the Civilian Labor Force in Households,Civilian Employed Population 16 Years and Over in Households,Civilian Employed Population 16 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone,Civilian Employed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Employed Population 16 Years and Over in Households that Have No Computer,Civilian Unemployed Population 16 Years and Over in Households,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with dial-up Internet Subscription Alone,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have a Computer without an Internet Subscription,Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with dial-up Internet Subscription Alone,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer with a Broadband Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have a Computer without an Internet Subscription,Population 16 Years and Over in Households who are Not in the Labor Force in Households that Have No Computer,Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Employed Population 16 Years and Over in Households that Have No Computer,Percent of Civilian Unemployed Population 16 Years and Over in Households that Have No Computer,Percent of Population 16 Years and Over who are Not in the Labor Force in Households that Have No Computer,Shape Area,Shape Length
48343,10453,10453,36005024502,100154,0,Census Tract 245.02,New York,Bronx County,1350,2838,1567,1444,0,1091,259,94,123,123,0,99,24,0,1271,1109,0,861,248,162,256,9.0,6.5,0.0,12.7,175238.234375,1691.2612275170002
48344,10462,10462,36005024600,152436,0,Census Tract 246,New York,Bronx County,963,1780,1165,1022,0,879,84,59,143,128,0,107,21,15,615,514,13,448,53,101,175,9.8,5.8,10.5,16.4,266686.13671875,3029.52192680403
48345,10453,10453,36005024700,145941,2672,Census Tract 247,New York,Bronx County,893,1634,991,928,0,753,140,35,63,63,0,45,18,0,643,552,0,406,146,91,126,7.7,3.8,0.0,14.2,246891.42578125,2881.7529929255998
48346,10461,10461,36005024800,277912,0,Census Tract 248,New York,Bronx County,1494,2409,1678,1515,0,1427,67,21,163,163,0,130,33,0,731,577,0,557,20,154,175,7.3,1.4,0.0,21.1,486259.359375,3018.52154335013
48346,10462,10462,36005024800,277912,0,Census Tract 248,New York,Bronx County,1494,2409,1678,1515,0,1427,67,21,163,163,0,130,33,0,731,577,0,557,20,154,175,7.3,1.4,0.0,21.1,486259.359375,3018.52154335013
48347,10453,10453,36005024900,173728,0,Census Tract 249,New York,Bronx County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,303991.94921875,2656.35743493967
48348,10461,10461,36005025000,181709,0,Census Tract 250,New York,Bronx County,1102,1997,1286,1209,0,1011,91,107,77,77,0,77,0,0,711,494,0,462,32,217,324,16.2,8.9,0.0,30.5,317903.75,2813.4727736122304
48348,10462,10462,36005025000,181709,0,Census Tract 250,New York,Bronx County,1102,1997,1286,1209,0,1011,91,107,77,77,0,77,0,0,711,494,0,462,32,217,324,16.2,8.9,0.0,30.5,317903.75,2813.4727736122304
48349,10453,10453,36005025100,209329,0,Census Tract 251,New York,Bronx County,2584,4831,2882,2689,14,2127,443,105,193,193,0,193,0,0,1949,1687,15,1326,346,262,367,7.6,3.9,0.0,13.4,366273.5859375,2539.31883045841
48350,10461,10461,36005025200,190715,0,Census Tract 252,New York,Bronx County,1265,2262,1394,1299,0,1179,86,34,95,78,0,71,7,17,868,686,0,617,69,182,233,10.3,2.6,17.9,21.0,333611.203125,2801.0547365324296
48350,10462,10462,36005025200,190715,0,Census Tract 252,New York,Bronx County,1265,2262,1394,1299,0,1179,86,34,95,78,0,71,7,17,868,686,0,617,69,182,233,10.3,2.6,17.9,21.0,333611.203125,2801.0547365324296
48351,10468,10468,36005025300,124458,0,Census Tract 253,New York,Bronx County,2502,4377,2878,2624,0,2193,309,122,254,238,0,215,23,16,1499,1145,0,1088,57,354,492,11.2,4.6,6.3,23.6,217797.19921875,2188.23106905655
48352,10461,10461,36005025400,169924,0,Census Tract 254,New York,Bronx County,887,1761,964,893,9,831,47,6,71,71,0,45,26,0,797,650,4,611,35,147,153,8.7,0.7,0.0,18.4,297255.28515625,2583.32103041103
48353,10453,10453,36005025500,168637,0,Census Tract 255,New York,Bronx County,3123,5264,3600,3203,0,2619,504,80,397,319,0,247,72,78,1664,1345,0,1084,261,319,477,9.1,2.5,19.6,19.2,295110.84375,2648.23921048102
48353,10468,10468,36005025500,168637,0,Census Tract 255,New York,Bronx County,3123,5264,3600,3203,0,2619,504,80,397,319,0,247,72,78,1664,1345,0,1084,261,319,477,9.1,2.5,19.6,19.2,295110.84375,2648.23921048102
48354,10461,10461,36005025600,189286,0,Census Tract 256,New York,Bronx County,701,1280,866,717,0,631,70,16,149,149,0,135,14,0,414,384,0,303,81,30,46,3.6,2.2,0.0,7.2,331083.46875,2857.83279625933
48354,10462,10462,36005025600,189286,0,Census Tract 256,New York,Bronx County,701,1280,866,717,0,631,70,16,149,149,0,135,14,0,414,384,0,303,81,30,46,3.6,2.2,0.0,7.2,331083.46875,2857.83279625933
48355,10468,10468,36005025700,161279,17989,Census Tract 257,New York,Bronx County,1265,1691,1334,1265,0,1180,85,0,69,69,0,29,40,0,357,324,0,287,37,33,33,2.0,0.0,0.0,9.2,282234.25390625,3636.2245646215297
48356,10468,10468,36005026100,174717,0,Census Tract 261,New York,Bronx County,921,1650,1014,982,0,830,91,61,32,32,0,32,0,0,636,500,0,460,40,136,197,11.9,6.2,0.0,21.4,305806.44921875,2599.37739019308
48357,10468,10468,36005026300,158787,0,Census Tract 263,New York,Bronx County,2033,4373,2439,2226,0,2013,20,193,213,130,0,105,25,83,1934,1508,0,1354,154,426,702,16.1,8.7,39.0,22.0,277909.83984375,3015.6721502537202
48358,10461,10461,36005026400,426510,0,Census Tract 264,New York,Bronx County,2277,4218,2823,2614,0,2101,176,337,209,209,0,209,0,0,1395,1102,0,1102,0,293,630,14.9,12.9,0.0,21.0,745970.69921875,3868.58163117781
48359,10468,10468,36005026500,202137,0,Census Tract 265,New York,Bronx County,3373,5571,4057,3560,0,3105,268,187,497,497,0,469,28,0,1514,1225,0,1162,63,289,476,8.5,5.3,0.0,19.1,353793.9609375,3025.4516084564398
48360,10461,10461,36005026601,170250,0,Census Tract 266.01,New York,Bronx County,1468,2685,1622,1570,0,1373,95,102,52,52,0,52,0,0,1063,770,0,701,69,293,395,14.7,6.5,0.0,27.6,297813.921875,2566.29364478414
48361,10461,10461,36005026602,303397,0,Census Tract 266.02,New York,Bronx County,2187,4220,2515,2275,0,2130,57,88,240,240,0,228,12,0,1705,1229,0,1137,92,476,564,13.4,3.9,0.0,27.9,530704.90234375,3282.52625886627
48362,10468,10468,36005026701,69160,0,Census Tract 267.01,New York,Bronx County,2085,3196,2311,2098,0,2026,59,13,213,195,0,179,16,18,885,833,0,764,69,52,83,2.6,0.6,8.5,5.9,121060.6015625,1455.08201656251
48363,10468,10468,36005026702,166368,0,Census Tract 267.02,New York,Bronx County,3173,5335,3640,3289,0,2890,283,116,351,296,0,199,97,55,1695,1393,19,1197,177,302,473,8.9,3.5,15.7,17.8,291241.765625,2502.149814886
48364,10463,10463,36005026900,384055,27111,Census Tract 269,New York,Bronx County,1719,2591,1872,1730,0,1678,41,11,142,142,0,111,31,0,719,608,0,509,99,111,122,4.7,0.6,0.0,15.4,672230.40625,4671.149365162511
48364,10468,10468,36005026900,384055,27111,Census Tract 269,New York,Bronx County,1719,2591,1872,1730,0,1678,41,11,142,142,0,111,31,0,719,608,0,509,99,111,122,4.7,0.6,0.0,15.4,672230.40625,4671.149365162511
48365,10463,10463,36005027300,203341,0,Census Tract 273,New York,Bronx County,3319,5893,3881,3494,0,3254,65,175,387,369,0,369,0,18,2012,1568,0,1519,49,444,637,10.8,5.0,4.7,22.1,355985.59375,3158.0434249242403
48365,10468,10468,36005027300,203341,0,Census Tract 273,New York,Bronx County,3319,5893,3881,3494,0,3254,65,175,387,369,0,369,0,18,2012,1568,0,1519,49,444,637,10.8,5.0,4.7,22.1,355985.59375,3158.0434249242403
48366,10465,10465,36005027401,701116,0,Census Tract 274.01,New York,Bronx County,2154,4063,2381,2290,21,2132,1,136,91,91,0,91,0,0,1682,1455,0,1428,27,227,363,8.9,5.9,0.0,13.5,1226198.29296875,5581.706362336589
48367,10465,10465,36005027402,504814,706508,Census Tract 274.02,New York,Bronx County,1692,2833,1756,1711,32,1563,97,19,45,45,0,37,8,0,1077,945,0,859,86,132,151,5.3,1.1,0.0,12.3,851210.87890625,5416.59165281035
48368,10461,10461,36005027600,1526823,782519,Census Tract 276,New York,Bronx County,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,100.0,,,100.0,2671384.44140625,10076.0336986564
48368,10475,10475,36005027600,1526823,782519,Census Tract 276,New York,Bronx County,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,100.0,,,100.0,2671384.44140625,10076.0336986564
48369,10463,10463,36005027700,176710,0,Census Tract 277,New York,Bronx County,1920,3543,2221,2043,0,1878,42,123,178,178,0,178,0,0,1322,908,0,882,26,414,537,15.2,6.0,0.0,31.3,309403.8828125,2852.28877085545
48370,10463,10463,36005027900,275640,0,Census Tract 279,New York,Bronx County,3532,5214,3745,3551,0,3279,253,19,194,181,0,181,0,13,1469,1276,0,1256,20,193,225,4.3,0.5,6.7,13.1,482682.96484375,3683.38824717541
48371,10463,10463,36005028100,129158,0,Census Tract 281,New York,Bronx County,1977,3436,2290,2078,0,1942,35,101,212,202,0,202,0,10,1146,1020,0,967,53,126,237,6.9,4.9,4.7,11.0,226179.8046875,2227.83863677433
48372,10463,10463,36005028300,227445,0,Census Tract 283,New York,Bronx County,921,2047,1116,944,0,821,100,23,172,159,0,159,0,13,931,553,0,495,58,378,414,20.2,2.4,7.6,40.6,398263.9453125,4765.4525077485105
48373,10461,10461,36005028400,1124691,0,Census Tract 284,New York,Bronx County,67,76,72,67,0,67,0,0,5,5,0,5,0,0,4,0,0,0,0,4,4,5.3,0.0,0.0,100.0,1967524.51953125,8305.46829650925
48373,10469,10469,36005028400,1124691,0,Census Tract 284,New York,Bronx County,67,76,72,67,0,67,0,0,5,5,0,5,0,0,4,0,0,0,0,4,4,5.3,0.0,0.0,100.0,1967524.51953125,8305.46829650925
48374,10463,10463,36005028500,263658,0,Census Tract 285,New York,Bronx County,1864,3079,2082,1926,65,1713,86,62,156,156,0,156,0,0,997,790,61,659,70,207,269,8.7,3.2,0.0,20.8,461752.46875,4345.950539854211
48374,10471,10471,36005028500,263658,0,Census Tract 285,New York,Bronx County,1864,3079,2082,1926,65,1713,86,62,156,156,0,156,0,0,997,790,61,659,70,207,269,8.7,3.2,0.0,20.8,461752.46875,4345.950539854211
48375,10461,10461,36005028600,200018,0,Census Tract 286,New York,Bronx County,537,887,597,552,0,530,7,15,45,45,0,45,0,0,290,224,0,218,6,66,81,9.1,2.7,0.0,22.8,349909.18359375,2446.6697182644198
48376,10463,10463,36005028700,155302,0,Census Tract 287,New York,Bronx County,1444,2489,1680,1456,0,1400,44,12,224,204,0,204,0,20,809,567,0,507,60,242,274,11.0,0.8,8.9,29.9,271951.73046875,2115.03050185371
48377,10461,10461,36005028800,336192,0,Census Tract 288,New York,Bronx County,1708,2729,1849,1774,0,1598,110,66,75,75,0,75,0,0,880,726,0,693,33,154,220,8.1,3.7,0.0,17.5,588215.28515625,3308.46033993968
48378,10463,10463,36005028900,201144,0,Census Tract 289,New York,Bronx County,2114,3612,2444,2297,46,2050,18,183,147,147,11,136,0,0,1168,770,0,707,63,398,581,16.1,8.0,0.0,34.1,352197.09375,2465.60204435971
48379,10463,10463,36005029301,286791,733019,Census Tract 293.01,New York,Bronx County,857,1447,913,863,0,815,42,6,50,50,0,50,0,0,534,501,0,458,43,33,39,2.7,0.7,0.0,6.2,502199.64453125,3522.7339039313792
48380,10463,10463,36005029302,425237,0,Census Tract 293.02,New York,Bronx County,2888,4637,2993,2888,40,2742,106,0,105,105,0,105,0,0,1644,1475,17,1376,82,169,169,3.6,0.0,0.0,10.3,743515.09765625,4870.03953542935
48381,10463,10463,36005029500,236468,0,Census Tract 295,New York,Bronx County,2484,3865,2725,2609,0,2430,54,125,116,116,0,116,0,0,1140,884,0,850,34,256,381,9.9,4.8,0.0,22.5,414115.390625,3688.4316094050896
48382,10461,10461,36005029600,723313,0,Census Tract 296,New York,Bronx County,779,1301,880,824,0,731,48,45,56,56,0,56,0,0,421,356,0,289,67,65,110,8.5,5.5,0.0,15.4,1265587.90625,7064.122533504879
48383,10463,10463,36005029700,232730,0,Census Tract 297,New York,Bronx County,1598,2744,1781,1672,0,1579,19,74,109,109,0,109,0,0,963,730,17,694,19,233,307,11.2,4.4,0.0,24.2,407568.0625,3347.2334763094104
48384,10461,10461,36005030000,415698,0,Census Tract 300,New York,Bronx County,3160,4827,3451,3277,0,2814,346,117,174,174,0,165,9,0,1376,1002,0,858,144,374,491,10.2,3.6,0.0,27.2,727278.77734375,3448.20579623426
48385,10463,10463,36005030100,146000,0,Census Tract 301,New York,Bronx County,533,905,533,533,0,500,33,0,0,0,0,0,0,0,372,262,5,193,64,110,110,12.2,0.0,,29.6,255671.0078125,2041.8291797053896
48386,10475,10475,36005030200,433614,126090,Census Tract 302,New York,Bronx County,3652,7904,4455,4073,0,3515,137,421,382,342,0,342,0,40,3449,2678,53,2379,246,771,1232,15.6,10.3,10.5,22.4,758878.5078125,4635.008335305821
48387,10463,10463,36005030701,396736,0,Census Tract 307.01,New York,Bronx County,2659,4486,2888,2697,0,2619,40,38,191,191,0,147,44,0,1598,1356,0,1210,146,242,280,6.2,1.4,0.0,15.1,694959.921875,5529.606088330849
48387,10471,10471,36005030701,396736,0,Census Tract 307.01,New York,Bronx County,2659,4486,2888,2697,0,2619,40,38,191,191,0,147,44,0,1598,1356,0,1210,146,242,280,6.2,1.4,0.0,15.1,694959.921875,5529.606088330849
48388,10463,10463,36005030900,1365850,2151862,Census Tract 309,New York,Bronx County,1249,2340,1345,1259,10,1207,32,10,86,86,0,86,0,0,995,741,10,672,59,254,264,11.3,0.8,0.0,25.5,2392847.2265625,10012.9470652454
48388,10471,10471,36005030900,1365850,2151862,Census Tract 309,New York,Bronx County,1249,2340,1345,1259,10,1207,32,10,86,86,0,86,0,0,995,741,10,672,59,254,264,11.3,0.8,0.0,25.5,2392847.2265625,10012.9470652454
48389,10469,10469,36005031000,634013,0,Census Tract 310,New York,Bronx County,1928,3362,2046,1984,0,1886,42,56,62,62,0,62,0,0,1316,1174,0,1149,25,142,198,5.9,2.8,0.0,10.8,1109538.3671875,4324.85077751747
48390,10469,10469,36005031200,202061,0,Census Tract 312,New York,Bronx County,778,1299,851,790,7,742,29,12,61,61,0,61,0,0,448,370,5,345,20,78,90,6.9,1.5,0.0,17.4,353617.4453125,2899.41803610824
48391,10469,10469,36005031400,211194,0,Census Tract 314,New York,Bronx County,1009,1681,1159,1077,17,956,36,68,82,82,12,70,0,0,522,435,8,427,0,87,155,9.2,6.3,0.0,16.7,369592.77734375,2917.2323373669105
48392,10469,10469,36005031600,177170,0,Census Tract 316,New York,Bronx County,983,1525,1065,1015,14,933,36,32,50,43,0,43,0,7,460,417,20,354,43,43,82,5.4,3.2,14.0,9.3,310055.2734375,2553.31909217291
48393,10469,10469,36005031800,178366,0,Census Tract 318,New York,Bronx County,877,1635,1023,890,6,789,82,13,133,133,0,133,0,0,612,456,6,400,50,156,169,10.3,1.5,0.0,25.5,312149.40625,2924.9679050745503
48394,10471,10471,36005031900,213170,201583,Census Tract 319,New York,Bronx County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,373626.77734375,2893.01941946235
48395,10471,10471,36005032300,561181,0,Census Tract 323,New York,Bronx County,2131,3814,2393,2243,0,1921,210,112,150,136,0,114,22,14,1421,1213,39,1082,92,208,334,8.8,5.0,9.3,14.6,983375.8515625,4526.890285425539
48396,10469,10469,36005032400,268373,0,Census Tract 324,New York,Bronx County,1520,3090,1856,1554,0,1361,159,34,302,302,0,302,0,0,1234,957,24,639,294,277,311,10.1,2.2,0.0,22.4,469658.9140625,3076.4684147261
48397,10469,10469,36005032600,331185,0,Census Tract 326,New York,Bronx County,1685,3097,2006,1832,0,1642,43,147,174,134,0,134,0,40,1091,981,0,770,211,110,297,9.6,8.0,23.0,10.1,579593.23828125,3548.98077622608
48398,10467,10467,36005032800,204657,0,Census Tract 328,New York,Bronx County,1290,2826,1632,1443,13,1201,76,153,189,161,0,144,17,28,1194,807,13,700,94,387,568,20.1,10.6,14.8,32.4,358157.28515625,2874.1431559551
48398,10469,10469,36005032800,204657,0,Census Tract 328,New York,Bronx County,1290,2826,1632,1443,13,1201,76,153,189,161,0,144,17,28,1194,807,13,700,94,387,568,20.1,10.6,14.8,32.4,358157.28515625,2874.1431559551
48399,10467,10467,36005033000,206129,0,Census Tract 330,New York,Bronx County,2461,4651,3040,2593,44,2222,195,132,447,348,0,348,0,99,1611,1259,49,1080,130,352,583,12.5,5.1,22.1,21.8,360731.2734375,2883.26153750116
48400,10467,10467,36005033201,114036,0,Census Tract 332.01,New York,Bronx County,2244,3983,2636,2363,11,2071,162,119,273,268,10,258,0,5,1347,981,9,839,133,366,490,12.3,5.0,1.8,27.2,199554.91796875,1871.7243897025
48401,10467,10467,36005033202,115204,0,Census Tract 332.02,New York,Bronx County,1378,3066,1592,1468,0,1282,96,90,124,124,0,119,5,0,1474,1106,0,946,160,368,458,14.9,6.1,0.0,25.0,201621.7890625,1869.1951273653897
48402,10458,10458,36005033400,3044513,62113,Census Tract 334,New York,Bronx County,34,63,39,34,0,34,0,0,5,5,0,5,0,0,24,24,0,24,0,0,0,0.0,0.0,0.0,0.0,5436072.7265625,13010.5441883584
48402,10460,10460,36005033400,3044513,62113,Census Tract 334,New York,Bronx County,34,63,39,34,0,34,0,0,5,5,0,5,0,0,24,24,0,24,0,0,0,0.0,0.0,0.0,0.0,5436072.7265625,13010.5441883584
48402,10462,10462,36005033400,3044513,62113,Census Tract 334,New York,Bronx County,34,63,39,34,0,34,0,0,5,5,0,5,0,0,24,24,0,24,0,0,0,0.0,0.0,0.0,0.0,5436072.7265625,13010.5441883584
48402,10469,10469,36005033400,3044513,62113,Census Tract 334,New York,Bronx County,34,63,39,34,0,34,0,0,5,5,0,5,0,0,24,24,0,24,0,0,0,0.0,0.0,0.0,0.0,5436072.7265625,13010.5441883584
48403,10463,10463,36005033500,696563,0,Census Tract 335,New York,Bronx County,746,1213,796,763,0,730,16,17,33,33,0,33,0,0,417,344,6,327,11,73,90,7.4,2.2,0.0,17.5,1220203.23046875,5772.865522833821
48403,10471,10471,36005033500,696563,0,Census Tract 335,New York,Bronx County,746,1213,796,763,0,730,16,17,33,33,0,33,0,0,417,344,6,327,11,73,90,7.4,2.2,0.0,17.5,1220203.23046875,5772.865522833821
48404,10467,10467,36005033600,184395,0,Census Tract 336,New York,Bronx County,2426,5140,2919,2508,0,1990,436,82,411,383,0,383,0,28,2221,2000,23,1642,335,221,331,6.4,3.3,6.8,10.0,322761.71875,2510.23736211757
48405,10471,10471,36005033700,424038,0,Census Tract 337,New York,Bronx County,1021,1893,1109,1039,6,966,49,18,70,70,0,70,0,0,784,740,0,620,120,44,62,3.3,1.7,0.0,5.6,743075.12890625,4885.83205108475
48406,10467,10467,36005033800,161380,0,Census Tract 338,New York,Bronx County,1797,3337,2180,1892,10,1635,152,95,288,276,0,157,119,12,1157,954,0,878,76,203,310,9.3,5.0,4.2,17.5,282479.6796875,2399.2057991888
48407,10467,10467,36005034000,158331,0,Census Tract 340,New York,Bronx County,2258,4055,2749,2423,5,1867,386,165,326,292,0,177,115,34,1306,993,6,840,147,313,512,12.6,6.8,10.4,24.0,277142.3125,2365.08891213939
48407,10469,10469,36005034000,158331,0,Census Tract 340,New York,Bronx County,2258,4055,2749,2423,5,1867,386,165,326,292,0,177,115,34,1306,993,6,840,147,313,512,12.6,6.8,10.4,24.0,277142.3125,2365.08891213939
48408,10469,10469,36005034200,156834,0,Census Tract 342,New York,Bronx County,826,1576,939,869,0,706,120,43,70,53,0,53,0,17,637,516,0,398,118,121,181,11.5,4.9,24.3,19.0,274518.13671875,2348.03003743226
48409,10471,10471,36005034300,121723,0,Census Tract 343,New York,Bronx County,753,1088,806,753,0,695,58,0,53,53,0,53,0,0,282,252,0,252,0,30,30,2.8,0.0,0.0,10.6,213326.87890625,2022.09393529525
48410,10469,10469,36005034400,157012,0,Census Tract 344,New York,Bronx County,1009,1800,1061,1037,0,1009,0,28,24,24,0,24,0,0,739,653,0,602,51,86,114,6.3,2.7,0.0,11.6,274833.18359375,2350.6789947318202
48411,10471,10471,36005034500,274627,0,Census Tract 345,New York,Bronx County,1383,2626,1688,1501,0,1329,54,118,187,180,0,169,11,7,938,756,0,675,81,182,307,11.7,7.9,3.7,19.4,481219.0859375,3130.0192104483503
48412,10469,10469,36005034800,437468,0,Census Tract 348,New York,Bronx County,2715,4889,2866,2752,0,2265,450,37,114,114,0,114,0,0,2023,1822,0,1630,192,201,238,4.9,1.3,0.0,9.9,765758.98046875,4035.8762326103706
48413,10469,10469,36005035000,191626,0,Census Tract 350,New York,Bronx County,1187,1691,1277,1231,33,868,286,44,46,46,0,46,0,0,414,368,0,274,94,46,90,5.3,3.6,0.0,11.1,335423.4609375,2570.9571918821
48414,10471,10471,36005035100,580468,0,Census Tract 351,New York,Bronx County,1462,2220,1525,1462,0,1197,265,0,63,63,0,63,0,0,695,642,0,384,258,53,53,2.4,0.0,0.0,7.6,1016859.00390625,5231.262705314421
48415,10469,10469,36005035600,397359,0,Census Tract 356,New York,Bronx County,1063,1824,1144,1081,0,1053,10,18,63,63,0,63,0,0,680,561,25,516,20,119,137,7.5,1.7,0.0,17.5,695501.28125,4919.89559643627
48416,10469,10469,36005035800,651471,0,Census Tract 358,New York,Bronx County,3906,6933,4506,4011,0,3635,271,105,495,495,0,470,25,0,2427,2227,0,2028,199,200,305,4.4,2.6,0.0,8.2,1140515.37890625,4510.86856488099
48417,10460,10460,36005035900,134331,0,Census Tract 359,New York,Bronx County,582,1490,728,614,0,570,12,32,114,106,0,94,12,8,762,583,0,544,39,179,219,14.7,5.2,7.0,23.5,234935.6953125,2266.77848904145
48418,10469,10469,36005036000,266176,0,Census Tract 360,New York,Bronx County,1333,2362,1530,1400,28,1247,58,67,130,124,0,124,0,6,832,705,7,671,27,127,200,8.5,4.8,4.6,15.3,465889.6328125,3073.2937856186604
48419,10460,10460,36005036100,164834,0,Census Tract 361,New York,Bronx County,1860,4438,2347,1877,0,1394,466,17,470,470,0,470,0,0,2091,1617,0,945,672,474,491,11.1,0.9,0.0,22.7,288297.578125,2301.70920109444
48420,10460,10460,36005036300,221467,0,Census Tract 363,New York,Bronx County,2683,5843,3572,2821,0,2052,631,138,751,719,0,392,327,32,2271,1865,20,1214,631,406,576,9.9,4.9,4.3,17.9,387373.234375,2615.80425739506
48421,10469,10469,36005036400,203683,0,Census Tract 364,New York,Bronx County,1206,2118,1327,1264,0,1068,138,58,63,63,0,41,22,0,791,698,22,584,92,93,151,7.1,4.6,0.0,11.8,356580.69140625,2748.47141455265
48422,10460,10460,36005036501,95827,0,Census Tract 365.01,New York,Bronx County,1288,2921,1648,1335,0,1141,147,47,313,313,0,280,33,0,1273,966,0,779,187,307,354,12.1,3.5,0.0,24.1,167616.66796875,2426.53535146454
48423,10460,10460,36005036502,97659,0,Census Tract 365.02,New York,Bronx County,948,1699,1077,1004,0,797,151,56,73,73,0,73,0,0,622,527,0,481,46,95,151,8.9,5.6,0.0,15.3,170807.77734375,1754.08672069163
48424,10460,10460,36005036700,93063,0,Census Tract 367,New York,Bronx County,764,1377,916,835,0,613,151,71,81,48,0,39,9,33,461,396,0,366,30,65,169,12.3,8.5,40.7,14.1,162760.109375,1835.41909042663
48425,10469,10469,36005036800,169530,0,Census Tract 368,New York,Bronx County,835,1516,990,899,0,723,112,64,91,74,0,56,18,17,526,419,0,419,0,107,188,12.4,7.1,18.7,20.3,296804.546875,2453.6517941234197
48426,10457,10457,36005036901,98732,0,Census Tract 369.01,New York,Bronx County,675,1573,830,716,0,506,169,41,114,106,6,63,37,8,743,508,0,408,100,235,284,18.1,5.7,7.0,31.6,172698.00390625,1754.7857421339802
48427,10457,10457,36005036902,62406,0,Census Tract 369.02,New York,Bronx County,569,1562,756,596,0,468,101,27,160,153,0,137,16,7,806,666,0,505,161,140,174,11.1,4.5,4.4,17.4,109151.58984375,1397.40484526833
48428,10469,10469,36005037000,158885,0,Census Tract 370,New York,Bronx County,1107,2048,1353,1254,0,918,189,147,99,99,0,84,15,0,695,582,0,434,148,113,260,12.7,11.7,0.0,16.3,278152.55078125,2079.88315275307
48429,10457,10457,36005037100,198178,0,Census Tract 371,New York,Bronx County,1564,3375,1825,1706,0,1435,129,142,119,119,0,94,25,0,1550,1192,0,903,289,358,500,14.8,8.3,0.0,23.1,346668.91796875,2551.94654321193
48429,10460,10460,36005037100,198178,0,Census Tract 371,New York,Bronx County,1564,3375,1825,1706,0,1435,129,142,119,119,0,94,25,0,1550,1192,0,903,289,358,500,14.8,8.3,0.0,23.1,346668.91796875,2551.94654321193
48430,10467,10467,36005037200,186530,0,Census Tract 372,New York,Bronx County,1093,1859,1262,1153,0,1041,52,60,109,109,0,109,0,0,597,507,0,481,26,90,150,8.1,5.2,0.0,15.1,326552.1796875,2528.83777569448
48431,10457,10457,36005037300,173453,0,Census Tract 373,New York,Bronx County,1757,3981,2220,1969,0,1357,400,212,251,230,0,208,22,21,1761,1484,0,970,514,277,510,12.8,10.8,8.4,15.7,303429.50390625,2910.26781742682
48432,10467,10467,36005037400,167070,0,Census Tract 374,New York,Bronx County,1402,3002,1796,1604,0,1088,314,202,192,137,0,100,37,55,1206,949,0,705,244,257,514,17.1,12.6,28.6,21.3,292494.7734375,2659.03437633378
48433,10457,10457,36005037504,239719,0,Census Tract 375.04,New York,Bronx County,1055,2374,1287,1130,0,880,175,75,157,157,0,91,66,0,1087,871,0,573,298,216,291,12.3,6.6,0.0,19.9,419375.80078125,3563.95717111425
48434,10467,10467,36005037600,124765,0,Census Tract 376,New York,Bronx County,949,1771,1149,972,0,833,116,23,177,163,0,139,24,14,622,530,0,451,79,92,129,7.3,2.4,7.9,14.8,218428.109375,2339.92361796832
48435,10467,10467,36005037800,131851,0,Census Tract 378,New York,Bronx County,1189,2262,1416,1250,0,930,259,61,166,166,0,166,0,0,846,685,0,568,117,161,222,9.8,4.9,0.0,19.0,230864.69921875,2077.63497629223
48436,10457,10457,36005037900,191332,0,Census Tract 379,New York,Bronx County,1466,3265,1971,1668,0,1109,357,202,303,257,0,170,87,46,1294,1038,0,794,244,256,504,15.4,12.1,15.2,19.8,334735.640625,3383.76580688218
48437,10467,10467,36005038000,213585,0,Census Tract 380,New York,Bronx County,2025,3946,2425,2090,0,1748,277,65,335,283,0,184,99,52,1521,1292,0,1140,152,229,346,8.8,3.1,15.5,15.1,373964.375,2456.57291329353
