Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Non-Hispanic White Population,Black or African American Population,American Indian and Alaska Native Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Some Other Race Population,Two or More Races Population,Hispanic or Latino Population,Percent of Population that is Non-Hispanic White,Percent of Population that is Black or African American,Percent of Population that is American Indian and Alaska Native,Percent of Population that is Asian,Percent of Population that is Native Hawaiian and Other Pacific Islander,Percent of Population that is Some Other Race,Percent of Population that is 2 or More Races,Percent of Population that is Hispanic or Latino,Shape Area,Shape Length
49826,10034,10034,36061030300,156650,0,Census Tract 303,New York,New York County,4581,1599,208,0,132,0,0,137,2505,34.9,4.5,0.0,2.9,0.0,0.0,3.0,54.7,274206.75,2480.37432082644
49827,10034,10034,36061030700,84374,0,Census Tract 307,New York,New York County,3785,2084,252,6,161,14,50,113,1105,55.1,6.7,0.2,4.3,0.4,1.3,3.0,29.2,147699.515625,1672.27992139665
49828,10463,10463,36061030900,302751,0,Census Tract 309,New York,New York County,10663,732,1595,0,88,0,98,141,8009,6.9,15.0,0.0,0.8,0.0,0.9,1.3,75.1,530051.93359375,3149.31689455002
49829,10033,10033,36061031100,730774,312736,Census Tract 311,New York,New York County,0,0,0,0,0,0,0,0,0,,,,,,,,,1353291.51953125,12627.9890930504
49829,10039,10039,36061031100,730774,312736,Census Tract 311,New York,New York County,0,0,0,0,0,0,0,0,0,,,,,,,,,1353291.51953125,12627.9890930504
49830,10280,10280,36061031703,248049,467877,Census Tract 317.03,New York,New York County,5593,3745,45,0,1163,0,13,203,424,67.0,0.8,0.0,20.8,0.0,0.2,3.6,7.6,535709.8828125,3313.63660535906
49830,10282,10282,36061031703,248049,467877,Census Tract 317.03,New York,New York County,5593,3745,45,0,1163,0,13,203,424,67.0,0.8,0.0,20.8,0.0,0.2,3.6,7.6,535709.8828125,3313.63660535906
49831,10004,10004,36061031704,225055,472761,Census Tract 317.04,New York,New York County,9989,6914,164,0,1764,0,57,264,826,69.2,1.6,0.0,17.7,0.0,0.6,2.6,8.3,445650.640625,3249.88841360129
49831,10280,10280,36061031704,225055,472761,Census Tract 317.04,New York,New York County,9989,6914,164,0,1764,0,57,264,826,69.2,1.6,0.0,17.7,0.0,0.6,2.6,8.3,445650.640625,3249.88841360129
49832,10004,10004,36061031900,99774,317234,Census Tract 319,New York,New York County,0,0,0,0,0,0,0,0,0,,,,,,,,,223656.35546875,2549.87531442406
49832,10280,10280,36061031900,99774,317234,Census Tract 319,New York,New York County,0,0,0,0,0,0,0,0,0,,,,,,,,,223656.35546875,2549.87531442406
49833,11101,11101,36081000100,1139955,172724,Census Tract 1,New York,Queens County,8830,5196,445,0,2014,0,61,394,720,58.8,5.0,0.0,22.8,0.0,0.7,4.5,8.2,1978662.62109375,13224.989457053201
49833,11109,11109,36081000100,1139955,172724,Census Tract 1,New York,Queens County,8830,5196,445,0,2014,0,61,394,720,58.8,5.0,0.0,22.8,0.0,0.7,4.5,8.2,1978662.62109375,13224.989457053201
49834,11421,11421,36081000200,156595,0,Census Tract 2,New York,Queens County,3208,376,36,0,517,0,0,33,2246,11.7,1.1,0.0,16.1,0.0,0.0,1.0,70.0,272671.984375,2074.62960721053
49835,11421,11421,36081000400,224878,0,Census Tract 4,New York,Queens County,4583,201,144,0,1061,0,87,20,3070,4.4,3.1,0.0,23.2,0.0,1.9,0.4,67.0,391530.3203125,2617.4513355943104
49836,11421,11421,36081000600,214286,0,Census Tract 6,New York,Queens County,3690,385,148,0,756,0,0,19,2382,10.4,4.0,0.0,20.5,0.0,0.0,0.5,64.6,373044.46875,2586.1180701283397
49837,11101,11101,36081000700,545045,0,Census Tract 7,New York,Queens County,6079,3178,42,0,1534,0,77,235,1013,52.3,0.7,0.0,25.2,0.0,1.3,3.9,16.7,950516.5859375,4357.00813100303
