Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Households,All Households that Have a Computer,Households that Have a Computer with Dial-up Internet Subscription Alone,Households that Have a Computer with a Broadband Internet Subscription,Households that Have a Computer without an Internet Subscription,Households that Have No Computer,Percent of Households that Have No Computer,Total Population in Households,Population Under 18 Years in Households,All Population Under 18 Years in Households that Have a Computer,Population Under 18 Years that in Households that Have a Computer with Dial-up Internet Subscription Alone,Population Under 18 Years that in Households that Have a Computer with a Broadband Internet Subscription,Population Under 18 Years in Households that Have a Computer without an Internet Subscription,Population Under 18 Years in Households that Have No Computer,Population 18 to 64 Years in Households,All Population 18 to 64 Years in Households that Have a Computer,Population 18 to 64 Years in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 18 to 64 Years in Households that Have a Computer with a Broadband Internet Subscription,Population 18 to 64 Years in Households that Have a Computer without an Internet Subscription,Population 18 to 64 Years in Households that Have No Computer,Population 65 Years and Over in Households,All Population 65 Years and Over in Households that Have a Computer,Population 65 Years and Over in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 65 Years and Over in Households that Have a Computer with a Broadband Internet Subscription,Population 65 Years and Over in Households that Have a Computer without an Internet Subscription,Population 65 Years and Over in Households with No Computer,Population in Households that Have No Computer,Percent of Population in Households that Have No Computer,Percent of Population Under 18 in Households with No Computer,Percent of Population 18 to 64 Years in Households with No Computer,Percent of Population 65 Years and Over in Households with No Computer,Total Black or African American Population in Households,All Black or African American Population in Households that Have a Computer,Black or African American Population in Households that Have a Computer with Dial-up Internet Subscription Alone,Black or African American Population in Households that Have a Computer with a Broadband Internet Subscription,Black or African American Population in Households that Have a Computer without an Internet Subscription,Black or African American Population in Households with No Computer,Percent of Black or African American Population in Households with No Computer,Total American Indian and Alaska Native Population in Households,All American Indian and Alaska Native Population in Households that Have a Computer,American Indian and Alaska Native Population in Households that Have a Computer with Dial-up Internet Subscription Alone,American Indian and Alaska Native Population in Households that Have a Computer with a Broadband Internet Subscription,American Indian and Alaska Native Population in Households that Have a Computer without an Internet Subscription,American Indian and Alaska Native Population in Households with No Computer,Percent of American Indian and Alaska Native Population in Households with No Computer,Total Asian Population in Households,All Asian Population in Households that Have a Computer,Asian Population in Households that Have a Computer with Dial-up Internet Subscription Alone,Asian Population in Households that Have a Computer with a Broadband Internet Subscription,Asian Population in Households that Have a Computer without an Internet Subscription,Asian Population in Households with No Computer,Percent of Asian Population in Households with No Computer,Total Native Hawaiian and Other Pacific Islander Population in Households,All Native Hawaiian and Other Pacific Islander Population in Households that Have a Computer,Native Hawaiian and Other Pacific Islander Population in Households that Have a Computer with Dial-up Internet Subscription Alone,Native Hawaiian and Other Pacific Islander Population in Households that Have a Computer with a Broadband Internet Subscription,Native Hawaiian and Other Pacific Islander Population in Households that Have a Computer without an Internet Subscription,Native Hawaiian and Other Pacific Islander Population in Households with No Computer,Percent of Native Hawaiian and Other Pacific Islander Population in Households with No Computer,Total Some Other Race Population in Households,All Some Other Race Population in Households that Have a Computer,Some Other Race Population in Households that Have a Computer with Dial-up Internet Subscription Alone,Some Other Race Population in Households that Have a Computer with a Broadband Internet Subscription,Some Other Race Population in Households that Have a Computer without an Internet Subscription,Some Other Race Population in Households with No Computer,Percent of Some Other Race Population in Households with No Computer,Total Two or More Races Population in Households,All Two or More Races Population in Households that Have a Computer,Two or More Races Population in Households that Have a Computer with Dial-up Internet Subscription Alone,Two or More Races Population in Households that Have a Computer with a Broadband Internet Subscription,Two or More Races Population in Households that Have a Computer without an Internet Subscription,Two or More Races Population in Households with No Computer,Percent of Two or More Races Population in Households with No Computer,Total Non-Hispanic White Population in Households,All Non-Hispanic White Population in Households that Have a Computer,Non-Hispanic White Population in Households that Have a Computer with Dial-up Internet Subscription Alone,Non-Hispanic White Population in Households that Have a Computer with a Broadband Internet Subscription,Non-Hispanic White Population in Households that Have a Computer without an Internet Subscription,Non-Hispanic White Population in Households with No Computer,Percent of Non-Hispanic White Population in Households with No Computer,Total Hispanic or Latino Population in Households,All Hispanic or Latino Population in Households that Have a Computer,Hispanic or Latino Population in Households that Have a Computer with Dial-up Internet Subscription Alone,Hispanic or Latino Population in Households that Have a Computer with a Broadband Internet Subscription,Hispanic or Latino Population in Households that Have a Computer without an Internet Subscription,Hispanic or Latino Population in Households with No Computer,Percent of Hispanic or Latino Population in Households with No Computer,Shape Area,Shape Length
49227,11207,11207,36047114202,112266,0,Census Tract 1142.02,New York,Kings County,905,794,0,653,141,111,12.3,3008,693,693,0,503,190,0,2032,1929,0,1654,275,103,283,247,0,208,39,36,139,4.6,0.0,5.1,12.7,1188,1175,0,993,182,13,1.1,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,635,552,0,364,188,83,13.1,133,127,0,70,57,6,4.5,88,88,0,88,0,0,0.0,1924,1819,0,1484,335,105,5.5,195421.44921875,2077.2690624817
49228,11207,11207,36047114400,429912,0,Census Tract 1144,New York,Kings County,732,615,0,542,73,117,16.0,2040,574,483,0,483,0,91,1368,1262,0,1083,179,106,98,64,0,64,0,34,231,11.3,15.9,7.7,34.7,1135,1072,0,1025,47,63,5.6,0,0,0,0,0,0,,5,5,0,5,0,0,0.0,4,4,0,4,0,0,0.0,379,327,0,312,15,52,13.7,123,93,0,93,0,30,24.4,35,29,0,29,0,6,17.1,934,787,0,655,132,147,15.7,748132.33984375,4001.97643478033
49229,11207,11207,36047114600,160101,0,Census Tract 1146,New York,Kings County,951,799,7,650,142,152,16.0,3011,734,700,0,600,100,34,1876,1702,7,1278,417,174,401,292,0,245,47,109,317,10.5,4.6,9.3,27.2,854,808,0,731,77,46,5.4,0,0,0,0,0,0,,226,134,7,127,0,92,40.7,0,0,0,0,0,0,,1017,907,0,685,222,110,10.8,178,178,0,178,0,0,0.0,65,65,0,59,6,0,0.0,1963,1784,0,1293,491,179,9.1,278662.23828125,2380.20441929695
49230,11207,11207,36047115000,158244,0,Census Tract 1150,New York,Kings County,887,796,0,672,124,91,10.3,2805,828,828,0,698,130,0,1786,1681,0,1387,294,105,191,185,0,158,27,6,111,4.0,0.0,5.9,3.1,1386,1336,0,1302,34,50,3.6,188,188,0,0,188,0,0.0,27,27,0,16,11,0,0.0,0,0,0,0,0,0,,680,670,0,523,147,10,1.5,92,83,0,49,34,9,9.8,23,23,0,23,0,0,0.0,1513,1461,0,1061,400,52,3.4,275388.9296875,2104.8015307290398
49230,11208,11208,36047115000,158244,0,Census Tract 1150,New York,Kings County,887,796,0,672,124,91,10.3,2805,828,828,0,698,130,0,1786,1681,0,1387,294,105,191,185,0,158,27,6,111,4.0,0.0,5.9,3.1,1386,1336,0,1302,34,50,3.6,188,188,0,0,188,0,0.0,27,27,0,16,11,0,0.0,0,0,0,0,0,0,,680,670,0,523,147,10,1.5,92,83,0,49,34,9,9.8,23,23,0,23,0,0,0.0,1513,1461,0,1061,400,52,3.4,275388.9296875,2104.8015307290398
49231,11207,11207,36047115200,166136,0,Census Tract 1152,New York,Kings County,1027,901,0,827,74,126,12.3,3080,914,914,0,885,29,0,1893,1756,0,1660,96,137,273,240,0,226,14,33,170,5.5,0.0,7.2,12.1,1911,1782,0,1650,132,129,6.8,0,0,0,0,0,0,,88,88,0,88,0,0,0.0,0,0,0,0,0,0,,644,618,0,618,0,26,4.0,159,159,0,152,7,0,0.0,133,133,0,133,0,0,0.0,845,804,0,804,0,41,4.9,289112.4453125,2154.77746072546
49232,11207,11207,36047115600,159862,0,Census Tract 1156,New York,Kings County,1596,1373,0,1116,257,223,14.0,3835,1126,1096,0,1024,72,30,2332,2157,0,1835,322,175,377,239,0,187,52,138,343,8.9,2.7,7.5,36.6,2894,2606,0,2332,274,288,10.0,29,29,0,0,29,0,0.0,16,16,0,15,1,0,0.0,0,0,0,0,0,0,,477,461,0,461,0,16,3.4,88,71,0,71,0,17,19.3,0,0,0,0,0,0,,953,891,0,749,142,62,6.5,278154.1640625,2153.41116429007
49233,11207,11207,36047115800,154981,0,Census Tract 1158,New York,Kings County,953,739,0,622,117,214,22.5,2823,673,646,0,605,41,27,1793,1477,0,1285,192,316,357,251,0,181,70,106,449,15.9,4.0,17.6,29.7,1939,1586,0,1488,98,353,18.2,21,21,0,21,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,534,438,0,290,148,96,18.0,62,62,0,62,0,0,0.0,49,49,0,35,14,0,0.0,794,679,0,491,188,115,14.5,269665.359375,2127.7795179974
49234,11207,11207,36047116000,151414,0,Census Tract 1160,New York,Kings County,901,769,0,658,111,132,14.7,2235,470,470,0,415,55,0,1489,1420,0,1252,168,69,276,181,0,123,58,95,164,7.3,0.0,4.6,34.4,1786,1675,0,1402,273,111,6.2,4,4,0,4,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,,219,166,0,158,8,53,24.2,16,16,0,16,0,0,0.0,0,0,0,0,0,0,,522,447,0,394,53,75,14.4,263464.42578125,2107.81533696558
49235,11207,11207,36047116200,143449,0,Census Tract 1162,New York,Kings County,801,679,8,574,97,122,15.2,2299,529,426,23,264,139,103,1435,1326,28,1146,152,109,335,251,0,215,36,84,296,12.9,19.5,7.6,25.1,1854,1580,36,1315,229,274,14.8,24,24,15,9,0,0,0.0,62,62,0,62,0,0,0.0,44,44,0,44,0,0,0.0,83,78,0,63,15,5,6.0,138,130,0,124,6,8,5.8,8,8,0,8,0,0,0.0,281,253,0,115,138,28,10.0,249606.63671875,2065.59936112103
