Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,All Households that Have One or More Types of Computing Devices,All Households that Have a Desktop or Laptop,Households that have a Desktop or Laptop with No Other Type of Computing Device,All Households that Have a Smartphone,Households that Have a Smartphone with No Other Type of Computing Device,All Households that Have a Tablet or Other Portable Wireless Computer,Households that Have a Tablet or Other Portable Wireless Computer with No Other Type of Computing Device,All Households that Have an Other Computer,Households that Have an Other Computer with No Other Type of Computing Device,Households that Have No Computer,"Percent of Households that Have No Computer, Smartphone, or Tablet",All Households with an Internet Subscription,Households with Dial-up with No Other Type of Internet Subscription,Households with Broadband of Any Type,All Households with Cellular Data Plan,Households with Cellular Data Plan with No Other Type of Internet Subscription,"All Households with Broadband such as Cable, Fiber Optic or DSL","Households with Broadband such as Cable, Fiber Optic or DSL with No Other Type of Internet Subscription",All Households with Satellite Internet Service,Households with Satellite Internet Service with No Other Type of Internet Subscription,Households with Other Service with No Other Type of Internet Subscription,Households with Internet Access without a Subscription,Households with No Internet Access,Percent of Households with No Internet Access,Shape Area,Shape Length
48561,11217,11217,36047007500,282781,0,Census Tract 75,New York,Kings County,2055,2054,2022,121,1850,0,1580,16,72,0,1,0.0,1968,13,1955,1487,123,1794,468,111,0,0,60,27,1.3,492219.17578125,3003.28818389253
48561,11231,11231,36047007500,282781,0,Census Tract 75,New York,Kings County,2055,2054,2022,121,1850,0,1580,16,72,0,1,0.0,1968,13,1955,1487,123,1794,468,111,0,0,60,27,1.3,492219.17578125,3003.28818389253
48562,11220,11220,36047007600,138336,0,Census Tract 76,New York,Kings County,1402,1165,1014,100,1013,69,563,36,30,0,237,16.9,936,0,936,481,48,856,419,49,0,0,72,394,28.1,240526.54296875,1988.94517465887
48563,11231,11231,36047007700,389476,0,Census Tract 77,New York,Kings County,2139,1810,1788,28,1747,0,1351,0,122,0,329,15.4,1871,0,1871,1278,121,1750,593,52,0,0,34,234,10.9,677848.0546875,4086.96447416269
48564,11220,11220,36047007800,138114,0,Census Tract 78,New York,Kings County,1488,1236,1082,55,1108,48,829,17,39,0,252,16.9,941,0,941,491,16,914,440,27,0,0,190,357,24.0,240156.59765625,1985.9081426784699
48565,11220,11220,36047008000,139122,0,Census Tract 80,New York,Kings County,1207,924,793,85,839,48,610,0,10,0,283,23.4,759,0,759,444,39,720,315,9,0,0,38,410,34.0,241925.1640625,1991.41729122318
48566,11220,11220,36047008200,139684,0,Census Tract 82,New York,Kings County,1397,1197,1025,169,993,21,813,12,85,0,200,14.3,986,0,986,704,134,829,282,24,0,0,78,333,23.8,242919.5390625,2006.84316241923
48566,11232,11232,36047008200,139684,0,Census Tract 82,New York,Kings County,1397,1197,1025,169,993,21,813,12,85,0,200,14.3,986,0,986,704,134,829,282,24,0,0,78,333,23.8,242919.5390625,2006.84316241923
48567,11232,11232,36047008400,243910,0,Census Tract 84,New York,Kings County,1156,960,782,96,838,123,513,8,64,0,196,17.0,885,0,885,708,238,638,154,19,0,0,31,240,20.8,424210.5859375,2618.04040630279
48568,11231,11231,36047008500,243576,0,Census Tract 85,New York,Kings County,3103,1916,1383,277,1579,321,848,46,62,0,1187,38.3,1914,0,1914,1100,327,1567,814,39,0,0,60,1129,36.4,423906.87890625,3198.57816793948
48570,11232,11232,36047008800,189369,0,Census Tract 88,New York,Kings County,1151,995,880,110,853,84,643,0,49,12,156,13.6,910,0,910,654,68,842,256,16,0,0,0,241,20.9,329315.30859375,2295.8864668617302
48571,11232,11232,36047009000,148493,0,Census Tract 90,New York,Kings County,863,834,709,104,718,87,417,0,43,0,29,3.4,709,0,709,523,147,550,186,40,0,0,41,113,13.1,258211.14453125,2086.66063501825
48572,11220,11220,36047009200,113217,0,Census Tract 92,New York,Kings County,1698,1541,1320,134,1355,68,926,0,120,0,157,9.2,1485,0,1485,1030,247,1185,427,71,0,0,19,194,11.4,196858.671875,1880.69047755298
48572,11232,11232,36047009200,113217,0,Census Tract 92,New York,Kings County,1698,1541,1320,134,1355,68,926,0,120,0,157,9.2,1485,0,1485,1030,247,1185,427,71,0,0,19,194,11.4,196858.671875,1880.69047755298
48573,11220,11220,36047009400,151026,0,Census Tract 94,New York,Kings County,1492,1294,1096,146,1072,116,522,7,7,7,198,13.3,1106,0,1106,518,29,1068,547,16,0,0,26,360,24.1,262587.24609375,2091.66441319222
48574,11220,11220,36047009600,150752,0,Census Tract 96,New York,Kings County,1855,1528,1343,172,1262,76,794,12,31,0,327,17.6,1289,0,1289,743,83,1206,546,15,0,0,191,375,20.2,262125.10546875,2090.8814367363198
48575,11220,11220,36047009800,151006,0,Census Tract 98,New York,Kings County,1697,1390,1196,72,1300,150,659,18,10,0,307,18.1,1193,17,1176,527,35,1129,649,11,0,0,41,463,27.3,262551.640625,2091.43637903766
48576,11220,11220,36047010000,150970,0,Census Tract 100,New York,Kings County,1643,1441,1279,122,1184,82,884,30,41,0,202,12.3,1267,7,1260,677,42,1209,567,29,9,0,127,249,15.2,262473.26953125,2090.87858821444
48577,11232,11232,36047010100,314730,0,Census Tract 101,New York,Kings County,1417,1221,1066,79,1090,77,767,0,195,0,196,13.8,1130,0,1130,991,165,932,120,63,0,0,71,216,15.2,547453.45703125,3047.81981685959
48578,11220,11220,36047010200,152450,0,Census Tract 102,New York,Kings County,1296,1090,857,33,1034,173,583,0,14,0,206,15.9,917,11,906,503,9,888,403,57,0,0,18,361,27.9,265031.2109375,2098.9144671555605
48579,11220,11220,36047010400,152312,0,Census Tract 104,New York,Kings County,1515,1335,1159,63,1231,65,727,0,56,0,180,11.9,1149,0,1149,765,47,1094,351,27,8,0,56,310,20.5,264768.4375,2098.49373642714
48580,11220,11220,36047010600,150932,0,Census Tract 106,New York,Kings County,1215,966,766,75,876,177,446,6,0,0,249,20.5,773,0,773,453,14,759,320,21,0,0,63,379,31.2,262387.3515625,2091.01170340923
48581,11220,11220,36047010800,150979,0,Census Tract 108,New York,Kings County,1290,1043,825,72,959,142,501,0,0,0,247,19.1,891,0,891,407,79,812,484,22,0,0,33,366,28.4,262482.984375,2091.13426965286
48582,11219,11219,36047011000,158059,0,Census Tract 110,New York,Kings County,606,536,436,49,447,34,303,26,29,0,70,11.6,509,0,509,323,55,421,157,48,15,0,8,89,14.7,274820.4140625,2163.67384030174
48583,11219,11219,36047011200,171313,0,Census Tract 112,New York,Kings County,1893,1402,1111,239,1017,92,766,92,107,0,491,25.9,1085,21,1064,650,156,876,414,9,0,0,204,604,31.9,297847.4609375,2193.6980113795803
48584,11219,11219,36047011400,167792,0,Census Tract 114,New York,Kings County,1070,817,669,112,661,53,480,34,22,0,253,23.6,604,0,604,450,67,537,154,26,0,0,54,412,38.5,291702.796875,2194.97274788129
48585,11219,11219,36047011600,160266,0,Census Tract 116,New York,Kings County,1088,891,770,72,801,96,318,0,44,0,197,18.1,891,0,891,601,69,798,281,49,0,0,51,146,13.4,278588.4140625,2358.37084263536
48585,11220,11220,36047011600,160266,0,Census Tract 116,New York,Kings County,1088,891,770,72,801,96,318,0,44,0,197,18.1,891,0,891,601,69,798,281,49,0,0,51,146,13.4,278588.4140625,2358.37084263536
48586,11215,11215,36047011700,201195,0,Census Tract 117,New York,Kings County,1133,1069,1034,90,979,30,745,0,25,0,64,5.6,992,15,977,730,71,885,226,23,11,10,35,106,9.4,350073.74609375,2348.47877571055
48587,11219,11219,36047011800,219234,0,Census Tract 118,New York,Kings County,568,507,438,37,464,34,269,6,9,0,61,10.7,470,0,470,331,43,419,135,4,0,0,12,86,15.1,381077.03125,3197.5331124199797
48587,11220,11220,36047011800,219234,0,Census Tract 118,New York,Kings County,568,507,438,37,464,34,269,6,9,0,61,10.7,470,0,470,331,43,419,135,4,0,0,12,86,15.1,381077.03125,3197.5331124199797
48588,11215,11215,36047011900,654296,63596,Census Tract 119,New York,Kings County,604,574,561,21,533,13,415,0,24,0,30,5.0,539,4,535,431,16,493,89,20,0,0,8,57,9.4,1147850.24609375,7802.20919019266
48588,11217,11217,36047011900,654296,63596,Census Tract 119,New York,Kings County,604,574,561,21,533,13,415,0,24,0,30,5.0,539,4,535,431,16,493,89,20,0,0,8,57,9.4,1147850.24609375,7802.20919019266
48589,11219,11219,36047012000,193342,0,Census Tract 120,New York,Kings County,321,295,260,11,263,0,180,16,5,0,26,8.1,271,0,271,166,35,236,105,5,0,0,19,31,9.7,336052.8203125,3054.9592536809196
48589,11220,11220,36047012000,193342,0,Census Tract 120,New York,Kings County,321,295,260,11,263,0,180,16,5,0,26,8.1,271,0,271,166,35,236,105,5,0,0,19,31,9.7,336052.8203125,3054.9592536809196
48590,11215,11215,36047012100,148056,0,Census Tract 121,New York,Kings County,850,827,730,30,788,35,533,0,41,0,23,2.7,798,25,773,569,34,739,204,11,0,0,0,52,6.1,257634.62109375,2067.8419602508498
48591,11220,11220,36047012200,181661,0,Census Tract 122,New York,Kings County,1535,1268,994,139,1118,150,561,0,43,0,267,17.4,1104,9,1095,727,68,1018,368,19,0,0,43,388,25.3,315798.90625,2261.38517417578
48592,11220,11220,36047012600,235982,0,Census Tract 126,New York,Kings County,859,812,724,56,740,29,504,0,29,0,47,5.5,763,0,763,636,28,665,127,29,0,0,43,53,6.2,410190.703125,3004.8520100853802
48593,11217,11217,36047012700,163391,0,Census Tract 127,New York,Kings County,1643,1262,1045,95,1061,132,805,29,151,0,381,23.2,1200,0,1200,741,71,1097,450,19,0,0,80,363,22.1,284405.62109375,2135.48764031996
48594,11219,11219,36047012801,114974,0,Census Tract 128.01,New York,Kings County,754,614,522,61,538,30,378,0,37,0,140,18.6,627,0,627,444,47,556,183,37,0,0,9,118,15.6,199828.234375,1938.7059412521899
48594,11220,11220,36047012801,114974,0,Census Tract 128.01,New York,Kings County,754,614,522,61,538,30,378,0,37,0,140,18.6,627,0,627,444,47,556,183,37,0,0,9,118,15.6,199828.234375,1938.7059412521899
48595,11217,11217,36047012901,133304,0,Census Tract 129.01,New York,Kings County,1081,1059,1023,54,988,16,691,9,6,0,22,2.0,1050,0,1050,712,28,1022,338,0,0,0,0,31,2.9,232037.69921875,2155.3890398476
48596,11217,11217,36047012902,130645,0,Census Tract 129.02,New York,Kings County,917,856,826,22,802,19,573,5,37,0,61,6.7,815,0,815,585,31,759,211,25,19,0,31,71,7.7,227399.73046875,2142.25578062214
48597,11209,11209,36047013000,176429,0,Census Tract 130,New York,Kings County,1689,1568,1465,198,1343,59,1090,5,142,8,121,7.2,1496,0,1496,1040,152,1310,350,103,29,0,11,182,10.8,306655.09765625,2269.89920710823
48597,11220,11220,36047013000,176429,0,Census Tract 130,New York,Kings County,1689,1568,1465,198,1343,59,1090,5,142,8,121,7.2,1496,0,1496,1040,152,1310,350,103,29,0,11,182,10.8,306655.09765625,2269.89920710823
48598,11217,11217,36047013100,156385,0,Census Tract 131,New York,Kings County,1823,1707,1669,58,1603,14,1290,0,101,0,116,6.4,1657,0,1657,1303,93,1544,325,31,20,0,50,116,6.4,272181.3125,2124.53322339969
48599,11220,11220,36047013200,155778,0,Census Tract 132,New York,Kings County,681,590,514,54,483,37,426,19,21,5,91,13.4,519,5,514,421,3,498,93,7,0,0,10,152,22.3,270722.5,2579.347815039
48599,11228,11228,36047013200,155778,0,Census Tract 132,New York,Kings County,681,590,514,54,483,37,426,19,21,5,91,13.4,519,5,514,421,3,498,93,7,0,0,10,152,22.3,270722.5,2579.347815039
48600,11215,11215,36047013300,148501,0,Census Tract 133,New York,Kings County,1826,1777,1750,61,1629,0,1369,9,138,0,49,2.7,1708,0,1708,1353,37,1671,318,41,0,0,22,96,5.3,258437.1484375,2083.0071150560198
48601,11209,11209,36047013400,268236,0,Census Tract 134,New York,Kings County,1496,1373,1306,162,1186,31,873,15,152,0,123,8.2,1303,0,1303,916,116,1114,330,92,46,0,21,172,11.5,466179.6875,3502.58461030516
48602,11215,11215,36047013500,151867,0,Census Tract 135,New York,Kings County,1486,1429,1406,103,1270,6,972,0,117,0,57,3.8,1313,0,1313,1014,10,1272,299,9,0,0,35,138,9.3,264276.87890625,2100.0834123989102
48603,11209,11209,36047013600,214252,0,Census Tract 136,New York,Kings County,1360,1263,1179,62,1099,31,820,24,138,0,97,7.1,1224,0,1224,814,104,1085,389,23,0,21,15,121,8.9,372332.89453125,3293.4853979981604
48604,11215,11215,36047013700,152453,0,Census Tract 137,New York,Kings County,1497,1332,1184,37,1234,83,974,18,61,0,165,11.0,1216,0,1216,950,99,1117,266,0,0,0,42,239,16.0,265278.890625,2103.92482091062
48605,11209,11209,36047013800,162579,0,Census Tract 138,New York,Kings County,1218,1055,1007,104,891,33,698,8,190,0,163,13.4,1036,25,1011,757,159,837,244,28,0,0,0,182,14.9,282512.48828125,2661.81865430472
48606,11215,11215,36047013900,151331,0,Census Tract 139,New York,Kings County,1409,1336,1317,18,1259,10,987,0,106,9,73,5.2,1313,0,1313,1047,49,1254,266,10,0,0,0,96,6.8,263308.375,2096.61970116486
48607,11228,11228,36047014000,147522,0,Census Tract 140,New York,Kings County,801,694,657,79,600,9,382,9,0,0,107,13.4,674,7,667,498,15,631,147,34,0,0,0,127,15.9,256323.9375,2275.0407519238397
48608,11215,11215,36047014100,165483,0,Census Tract 141,New York,Kings County,1359,1327,1235,87,1240,59,878,0,101,0,32,2.4,1251,0,1251,805,63,1165,437,33,0,0,67,41,3.0,287910.08984375,2180.1947826701603
48609,11209,11209,36047014200,200223,0,Census Tract 142,New York,Kings County,1269,1159,1029,84,1032,58,713,0,109,0,110,8.7,1114,0,1114,818,176,921,292,57,4,0,18,137,10.8,347911.53515625,3072.231769093
48610,11215,11215,36047014300,217211,0,Census Tract 143,New York,Kings County,1409,1332,1293,51,1182,31,881,8,95,0,77,5.5,1206,0,1206,894,52,1154,279,33,0,0,43,160,11.4,377887.00390625,2676.57072420345
48610,11232,11232,36047014300,217211,0,Census Tract 143,New York,Kings County,1409,1332,1293,51,1182,31,881,8,95,0,77,5.5,1206,0,1206,894,52,1154,279,33,0,0,43,160,11.4,377887.00390625,2676.57072420345
48611,11215,11215,36047014500,216621,0,Census Tract 145,New York,Kings County,1699,1614,1477,56,1503,40,1131,0,31,0,85,5.0,1582,0,1582,1198,123,1430,366,102,8,0,40,77,4.5,376833.9140625,2638.38301109486
48611,11232,11232,36047014500,216621,0,Census Tract 145,New York,Kings County,1699,1614,1477,56,1503,40,1131,0,31,0,85,5.0,1582,0,1582,1198,123,1430,366,102,8,0,40,77,4.5,376833.9140625,2638.38301109486
48612,11215,11215,36047014700,105979,0,Census Tract 147,New York,Kings County,891,838,807,41,764,5,572,6,90,0,53,5.9,842,4,838,672,57,768,141,61,0,0,13,36,4.0,184353.52734375,1828.3550521785899
48613,11228,11228,36047014800,133459,0,Census Tract 148,New York,Kings County,474,383,351,54,302,32,235,0,23,0,91,19.2,368,0,368,279,52,316,82,7,0,0,7,99,20.9,231855.9921875,2105.81750085344
48614,11215,11215,36047014900,249831,0,Census Tract 149,New York,Kings County,2224,2116,2086,102,1921,19,1503,0,173,0,108,4.9,2040,0,2040,1516,91,1901,476,31,0,32,58,126,5.7,434620.625,2618.08128233788
48615,11228,11228,36047015000,133505,0,Census Tract 150,New York,Kings County,623,507,486,27,461,11,331,5,12,0,116,18.6,505,0,505,430,37,465,75,26,0,0,0,118,18.9,231929.73828125,2107.20395477096
48616,11215,11215,36047015100,149311,0,Census Tract 151,New York,Kings County,1680,1565,1514,29,1468,45,1102,0,197,0,115,6.8,1579,33,1546,1096,15,1531,413,23,0,0,8,93,5.5,259776.78125,2080.3317470707
48617,11209,11209,36047015200,268130,0,Census Tract 152,New York,Kings County,828,764,741,87,629,14,494,4,25,0,64,7.7,720,3,717,581,44,663,136,49,0,0,8,100,12.1,465793.0625,3438.42075666846
48617,11228,11228,36047015200,268130,0,Census Tract 152,New York,Kings County,828,764,741,87,629,14,494,4,25,0,64,7.7,720,3,717,581,44,663,136,49,0,0,8,100,12.1,465793.0625,3438.42075666846
48618,11215,11215,36047015300,150477,0,Census Tract 153,New York,Kings County,1119,1101,1101,101,947,0,841,0,111,0,18,1.6,1038,0,1038,795,36,1002,218,18,0,0,43,38,3.4,261821.9140625,2085.69898071304
48619,11209,11209,36047015400,922940,0,Census Tract 154,New York,Kings County,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1603152.953125,5870.693691143771
48619,11228,11228,36047015400,922940,0,Census Tract 154,New York,Kings County,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,1603152.953125,5870.693691143771
48620,11215,11215,36047015500,149645,0,Census Tract 155,New York,Kings County,1544,1491,1423,28,1349,33,1113,11,54,0,53,3.4,1448,0,1448,1081,85,1325,350,66,0,0,35,61,4.0,260393.52734375,2082.79328207216
48621,11215,11215,36047015700,167428,0,Census Tract 157,New York,Kings County,1986,1971,1927,125,1782,15,1320,0,129,0,15,0.8,1890,0,1890,1466,69,1784,406,49,0,0,16,80,4.0,291358.32421875,2182.1971223325304
48622,11217,11217,36047015900,250867,0,Census Tract 159,New York,Kings County,2412,2329,2283,119,2184,46,1702,0,128,0,83,3.4,2260,26,2234,1729,168,2060,505,24,0,0,83,69,2.9,436591.5390625,2839.5926421448103
48622,11238,11238,36047015900,250867,0,Census Tract 159,New York,Kings County,2412,2329,2283,119,2184,46,1702,0,128,0,83,3.4,2260,26,2234,1729,168,2060,505,24,0,0,83,69,2.9,436591.5390625,2839.5926421448103
48623,11209,11209,36047016000,258630,0,Census Tract 160,New York,Kings County,1573,1452,1276,90,1224,82,1021,31,32,0,121,7.7,1386,0,1386,1002,30,1303,359,67,25,0,50,137,8.7,449347.39453125,3180.29520731548
48624,11217,11217,36047016100,182397,0,Census Tract 161,New York,Kings County,1382,1370,1342,75,1241,0,997,0,38,0,12,0.9,1333,0,1333,1007,14,1248,306,104,20,0,0,49,3.5,317474.484375,2604.97022638236
48625,11209,11209,36047016200,237712,0,Census Tract 162,New York,Kings County,1101,933,781,76,809,43,692,11,28,0,168,15.3,886,9,877,525,74,792,317,31,0,11,35,180,16.3,412931.703125,3392.98706512067
48626,11238,11238,36047016300,184092,0,Census Tract 163,New York,Kings County,1414,1290,1254,22,1231,9,828,0,113,0,124,8.8,1263,0,1263,870,33,1219,393,20,0,0,63,88,6.2,320417.32421875,2453.15593468556
48627,11209,11209,36047016400,802167,650272,Census Tract 164,New York,Kings County,304,304,304,0,304,0,241,0,56,0,0,0.0,293,0,293,219,45,248,74,23,0,0,11,0,0.0,1393932.69140625,6572.73006277313
48627,11425,11209,36047016400,802167,650272,Census Tract 164,New York,Kings County,304,304,304,0,304,0,241,0,56,0,0,0.0,293,0,293,219,45,248,74,23,0,0,11,0,0.0,1393932.69140625,6572.73006277313
48628,11215,11215,36047016500,186642,0,Census Tract 165,New York,Kings County,2444,2408,2372,151,2162,0,1724,20,142,0,36,1.5,2379,0,2379,1971,162,2162,408,19,0,0,13,52,2.1,324766.359375,2708.0723213026604
48629,11228,11228,36047016600,266930,0,Census Tract 166,New York,Kings County,694,561,534,18,509,3,427,4,18,0,133,19.2,563,0,563,468,46,505,86,27,5,0,8,123,17.7,463764.58984375,2735.09331229066
48630,11215,11215,36047016700,168915,0,Census Tract 167,New York,Kings County,2138,2063,1941,130,1896,42,1520,0,254,0,75,3.5,1980,0,1980,1520,94,1835,460,14,0,0,26,132,6.2,293869.9921875,2490.87455625172
48631,11214,11214,36047016800,168295,117619,Census Tract 168,New York,Kings County,726,639,586,40,563,25,406,19,9,4,87,12.0,641,0,641,489,57,575,140,22,0,0,24,61,8.4,297548.63671875,2268.07037179613
48631,11228,11228,36047016800,168295,117619,Census Tract 168,New York,Kings County,726,639,586,40,563,25,406,19,9,4,87,12.0,641,0,641,489,57,575,140,22,0,0,24,61,8.4,297548.63671875,2268.07037179613
48632,11215,11215,36047016900,209462,0,Census Tract 169,New York,Kings County,2134,1866,1827,139,1647,0,1391,0,73,0,268,12.6,1833,0,1833,1406,41,1792,427,13,0,0,0,301,14.1,364361.30859375,2470.9360416523
48633,11228,11228,36047017000,209047,0,Census Tract 170,New York,Kings County,1141,966,911,82,804,9,677,0,24,0,175,15.3,918,0,918,738,49,849,156,64,0,0,15,208,18.2,363101.07421875,2944.2176283680296
48634,11215,11215,36047017100,208489,0,Census Tract 171,New York,Kings County,1609,1509,1498,95,1378,11,1025,0,96,0,100,6.2,1496,0,1496,1145,48,1437,318,0,0,0,13,100,6.2,362638.828125,2468.30500424812
48634,11218,11218,36047017100,208489,0,Census Tract 171,New York,Kings County,1609,1509,1498,95,1378,11,1025,0,96,0,100,6.2,1496,0,1496,1145,48,1437,318,0,0,0,13,100,6.2,362638.828125,2468.30500424812
48635,11214,11214,36047017200,206304,0,Census Tract 172,New York,Kings County,1067,940,860,72,859,19,708,0,20,0,127,11.9,918,0,918,764,65,844,143,37,0,0,28,121,11.3,358327.50390625,2916.86826922711
48635,11228,11228,36047017200,206304,0,Census Tract 172,New York,Kings County,1067,940,860,72,859,19,708,0,20,0,127,11.9,918,0,918,764,65,844,143,37,0,0,28,121,11.3,358327.50390625,2916.86826922711
48636,11214,11214,36047017400,165550,91465,Census Tract 174,New York,Kings County,721,596,508,53,503,38,384,13,30,6,125,17.3,559,0,559,371,12,535,177,38,5,0,23,139,19.3,296182.578125,2409.87597935655
48637,11215,11215,36047017500,1961397,0,Census Tract 175,New York,Kings County,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,3411112.53125,7541.109457257309
48638,11214,11214,36047017600,133636,83378,Census Tract 176,New York,Kings County,895,784,727,41,716,27,540,12,5,0,111,12.4,795,0,795,527,89,706,258,4,0,0,9,91,10.2,247437.515625,2298.94889271075
48639,11218,11218,36047017700,2313042,227326,Census Tract 177,New York,Kings County,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,4419252.32421875,9723.1349777619
48639,11225,11225,36047017700,2313042,227326,Census Tract 177,New York,Kings County,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,4419252.32421875,9723.1349777619
48639,11238,11238,36047017700,2313042,227326,Census Tract 177,New York,Kings County,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,4419252.32421875,9723.1349777619
48640,11214,11214,36047017800,164020,0,Census Tract 178,New York,Kings County,919,816,715,45,756,38,544,5,5,0,103,11.2,748,24,724,493,50,669,226,15,0,0,11,160,17.4,284866.32421875,2448.7754947978
48641,11217,11217,36047017900,158289,0,Census Tract 179,New York,Kings County,1599,1316,1085,119,1154,131,770,0,41,0,283,17.7,1185,0,1185,882,159,1015,292,53,11,0,75,339,21.2,275547.171875,2143.44275918266
48641,11238,11238,36047017900,158289,0,Census Tract 179,New York,Kings County,1599,1316,1085,119,1154,131,770,0,41,0,283,17.7,1185,0,1185,882,159,1015,292,53,11,0,75,339,21.2,275547.171875,2143.44275918266
48642,11214,11214,36047018000,176116,0,Census Tract 180,New York,Kings County,1047,987,953,99,878,6,640,0,27,0,60,5.7,947,0,947,592,29,901,346,23,9,0,9,91,8.7,305888.546875,2451.21081572578
48643,11205,11205,36047018100,169373,0,Census Tract 181,New York,Kings County,1974,1816,1764,141,1622,15,1379,0,109,0,158,8.0,1716,0,1716,1353,69,1631,347,79,16,0,25,233,11.8,294874.19140625,2206.12378399216
48643,11217,11217,36047018100,169373,0,Census Tract 181,New York,Kings County,1974,1816,1764,141,1622,15,1379,0,109,0,158,8.0,1716,0,1716,1353,69,1631,347,79,16,0,25,233,11.8,294874.19140625,2206.12378399216
48643,11238,11238,36047018100,169373,0,Census Tract 181,New York,Kings County,1974,1816,1764,141,1622,15,1379,0,109,0,158,8.0,1716,0,1716,1353,69,1631,347,79,16,0,25,233,11.8,294874.19140625,2206.12378399216
48644,11214,11214,36047018200,165467,0,Census Tract 182,New York,Kings County,1206,1053,891,81,928,51,716,24,12,6,153,12.7,986,0,986,672,57,894,309,33,0,0,0,220,18.2,287429.734375,2303.0890790015696
48645,11205,11205,36047018300,137311,0,Census Tract 183,New York,Kings County,1215,1208,1198,18,1141,0,872,0,17,0,7,0.6,1163,0,1163,852,37,1121,311,11,0,0,45,7,0.6,239079.2578125,1985.5991571236102
48646,11228,11228,36047018400,149131,0,Census Tract 184,New York,Kings County,860,796,752,60,700,21,615,0,10,5,64,7.4,774,0,774,622,56,703,142,38,0,0,0,86,10.0,259060.66796875,2071.82398565703
48647,11205,11205,36047018501,111097,0,Census Tract 185.01,New York,Kings County,1780,1451,951,206,1174,174,905,71,26,0,329,18.5,1254,0,1254,809,114,1131,436,31,0,0,53,473,26.6,193456.31640625,1778.26839086795
48648,11228,11228,36047018600,113058,0,Census Tract 186,New York,Kings County,734,669,607,80,573,25,389,6,21,0,65,8.9,611,0,611,463,45,553,148,25,0,0,25,98,13.4,196407.7421875,1879.7635512163397
48649,11205,11205,36047018700,85768,0,Census Tract 187,New York,Kings County,662,571,491,28,523,53,375,0,41,0,91,13.7,502,0,502,338,24,457,135,29,5,0,21,139,21.0,149347.74609375,1569.7485638139901
48650,11204,11204,36047018800,175213,0,Census Tract 188,New York,Kings County,932,870,799,45,815,48,475,0,21,0,62,6.7,822,0,822,656,56,751,155,28,6,5,6,104,11.2,304403.69140625,2356.09317006166
48650,11214,11214,36047018800,175213,0,Census Tract 188,New York,Kings County,932,870,799,45,815,48,475,0,21,0,62,6.7,822,0,822,656,56,751,155,28,6,5,6,104,11.2,304403.69140625,2356.09317006166
48650,11228,11228,36047018800,175213,0,Census Tract 188,New York,Kings County,932,870,799,45,815,48,475,0,21,0,62,6.7,822,0,822,656,56,751,155,28,6,5,6,104,11.2,304403.69140625,2356.09317006166
48651,11219,11219,36047019000,212933,0,Census Tract 190,New York,Kings County,1506,1261,1138,66,1158,32,908,0,28,0,245,16.3,1296,0,1296,907,47,1205,389,17,0,0,15,195,12.9,369972.96875,2659.2090459589604
48651,11228,11228,36047019000,212933,0,Census Tract 190,New York,Kings County,1506,1261,1138,66,1158,32,908,0,28,0,245,16.3,1296,0,1296,907,47,1205,389,17,0,0,15,195,12.9,369972.96875,2659.2090459589604
48652,11205,11205,36047019100,253798,0,Census Tract 191,New York,Kings County,1074,1029,987,16,989,34,666,0,30,0,45,4.2,987,0,987,687,24,952,300,15,0,0,0,87,8.1,441955.25,3144.8758812480896
48653,11219,11219,36047019200,189790,0,Census Tract 192,New York,Kings County,796,701,581,107,574,49,395,0,49,0,95,11.9,608,0,608,401,39,549,178,40,0,0,35,153,19.2,329835.7734375,2363.50275176281
48654,11205,11205,36047019300,269728,0,Census Tract 193,New York,Kings County,2274,1894,1612,115,1562,127,1278,20,163,53,380,16.7,1720,0,1720,1076,134,1586,625,15,0,0,200,354,15.6,469638.3515625,2808.24861665163
48654,11238,11238,36047019300,269728,0,Census Tract 193,New York,Kings County,2274,1894,1612,115,1562,127,1278,20,163,53,380,16.7,1720,0,1720,1076,134,1586,625,15,0,0,200,354,15.6,469638.3515625,2808.24861665163
48655,11219,11219,36047019400,178420,0,Census Tract 194,New York,Kings County,1159,958,754,82,861,114,477,0,47,0,201,17.3,835,0,835,677,96,690,143,7,7,0,28,296,25.5,310051.6328125,2499.70882691432
48656,11205,11205,36047019500,137021,0,Census Tract 195,New York,Kings County,1841,1769,1721,138,1631,12,1146,0,40,0,72,3.9,1646,0,1646,1122,111,1510,501,25,0,0,22,173,9.4,238573.6796875,1966.05038984495
48657,11219,11219,36047019600,188307,0,Census Tract 196,New York,Kings County,1420,1145,1002,165,925,43,587,32,43,0,275,19.4,989,0,989,733,52,907,249,52,0,0,87,344,24.2,327210.375,2297.27579732705
