Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total households,All Households that Have One or More Types of Computing Devices,All Households that Have a Desktop or Laptop,Households that have a Desktop or Laptop with No Other Type of Computing Device,All Households that Have a Smartphone,Households that Have a Smartphone with No Other Type of Computing Device,All Households that Have a Tablet or Other Portable Wireless Computer,Households that Have a Tablet or Other Portable Wireless Computer with No Other Type of Computing Device,All Households that Have an Other Computer,Households that Have an Other Computer with No Other Type of Computing Device,Households that Have No Computer,"Percent of Households that Have No Computer, Smartphone, or Tablet",All Households with an Internet Subscription,Households with Dial-up with No Other Type of Internet Subscription,Households with Broadband of Any Type,All Households with Cellular Data Plan,Households with Cellular Data Plan with No Other Type of Internet Subscription,"All Households with Broadband such as Cable, Fiber Optic or DSL","Households with Broadband such as Cable, Fiber Optic or DSL with No Other Type of Internet Subscription",All Households with Satellite Internet Service,Households with Satellite Internet Service with No Other Type of Internet Subscription,Households with Other Service with No Other Type of Internet Subscription,Households with Internet Access without a Subscription,Households with No Internet Access,Percent of Households with No Internet Access,Shape Area,Shape Length
48184,10454,10454,36005003900,216210,0,Census Tract 39,New York,Bronx County,2047,1450,1032,84,1292,163,889,33,139,0,597,29.2,1190,0,1190,823,108,1067,306,73,0,15,106,751,36.7,377786.3125,2986.2312009491498
48185,10472,10472,36005004001,123145,0,Census Tract 40.01,New York,Bronx County,484,417,391,49,334,0,253,0,74,7,67,13.8,393,0,393,259,25,355,121,21,0,13,29,62,12.8,215292.390625,1981.8996576035897
48186,10454,10454,36005004100,184733,0,Census Tract 41,New York,Bronx County,2056,1593,985,138,1406,375,883,49,89,0,463,22.5,1417,0,1417,1105,348,1028,296,93,0,0,19,620,30.2,322803.765625,2692.3462175612303
48187,10473,10473,36005004200,483356,0,Census Tract 42,New York,Bronx County,2736,2182,1932,138,1814,152,1234,20,261,0,554,20.2,2095,0,2095,875,86,1992,1203,39,17,0,30,611,22.3,844931.96484375,4136.94984719945
48188,10454,10454,36005004300,225393,0,Census Tract 43,New York,Bronx County,2111,1706,1176,65,1601,347,969,6,134,0,405,19.2,1416,0,1416,1161,142,1225,255,40,0,0,80,615,29.1,393879.29296875,2613.62047317777
48188,10455,10455,36005004300,225393,0,Census Tract 43,New York,Bronx County,2111,1706,1176,65,1601,347,969,6,134,0,405,19.2,1416,0,1416,1161,142,1225,255,40,0,0,80,615,29.1,393879.29296875,2613.62047317777
48189,10472,10472,36005004400,265578,0,Census Tract 44,New York,Bronx County,1641,1380,872,73,1188,247,850,50,107,0,261,15.9,1116,0,1116,541,92,1024,575,0,0,0,50,475,28.9,464282.89453125,3470.90034546296
48190,10473,10473,36005004600,135340,0,Census Tract 46,New York,Bronx County,706,651,531,144,500,84,317,0,16,0,55,7.8,577,0,577,257,51,526,309,17,0,0,23,106,15.0,236569.76953125,2111.29685395732
48191,10472,10472,36005004800,150832,0,Census Tract 48,New York,Bronx County,1407,1213,831,61,1123,282,632,8,114,9,194,13.8,948,0,948,632,95,844,316,24,0,0,116,343,24.4,263686.09375,2196.83539786601
48192,10472,10472,36005005001,97889,0,Census Tract 50.01,New York,Bronx County,1565,1264,664,18,1212,223,804,9,101,0,301,19.2,953,0,953,603,136,798,316,52,0,0,64,548,35.0,171121.546875,1694.28415675302
48193,10472,10472,36005005002,113902,0,Census Tract 50.02,New York,Bronx County,1871,1486,971,49,1322,250,914,40,116,0,385,20.6,1156,0,1156,736,211,905,390,24,0,0,201,514,27.5,199128.2578125,1829.0518695212197
48194,10451,10451,36005005100,510448,0,Census Tract 51,New York,Bronx County,2083,1693,964,110,1546,398,879,37,58,0,390,18.7,1383,0,1383,1137,204,1152,206,53,0,0,55,645,31.0,859020.8671875,5328.35354699498
48194,10454,10454,36005005100,510448,0,Census Tract 51,New York,Bronx County,2083,1693,964,110,1546,398,879,37,58,0,390,18.7,1383,0,1383,1137,204,1152,206,53,0,0,55,645,31.0,859020.8671875,5328.35354699498
48195,10472,10472,36005005200,182689,0,Census Tract 52,New York,Bronx County,834,575,372,46,493,79,373,22,0,0,259,31.1,487,5,482,347,60,422,131,4,0,0,28,319,38.2,319367.328125,2323.6470263414103
48196,10453,10453,36005005300,68745,3852,Census Tract 53,New York,Bronx County,1591,1294,756,133,1106,285,687,16,115,15,297,18.7,1076,0,1076,910,225,816,115,44,0,0,75,440,27.7,117559.46875,1676.8115877299801
48197,10472,10472,36005005400,196516,0,Census Tract 54,New York,Bronx County,1782,1458,1128,124,1302,223,873,10,124,0,324,18.2,1225,0,1225,795,166,1047,402,32,0,0,41,516,29.0,343582.0546875,2566.93009285853
48198,10472,10472,36005005600,136188,0,Census Tract 56,New York,Bronx County,872,612,430,58,540,54,417,6,32,0,260,29.8,560,0,560,345,59,501,204,11,0,0,17,295,33.8,238126.6875,2001.16133017345
48199,10451,10451,36005005902,69637,0,Census Tract 59.02,New York,Bronx County,1017,899,688,65,800,126,654,10,56,0,118,11.6,796,0,796,626,77,703,139,10,10,0,25,196,19.3,121729.30078125,2083.80308895687
48200,10460,10460,36005006000,315748,0,Census Tract 60,New York,Bronx County,385,358,278,30,318,45,222,0,88,0,27,7.0,328,0,328,144,34,294,184,0,0,0,0,57,14.8,552174.80859375,3164.9106567489303
48201,10451,10451,36005006100,242362,0,Census Tract 61,New York,Bronx County,2143,1742,1494,277,1231,164,1094,51,69,0,401,18.7,1502,8,1494,1226,130,1364,251,53,0,0,138,503,23.5,423640.12109375,3358.04672175313
48202,10472,10472,36005006200,192942,0,Census Tract 62,New York,Bronx County,2362,1736,1217,164,1529,127,1220,43,200,0,626,26.5,1560,0,1560,922,167,1356,607,37,17,0,18,784,33.2,337370.8359375,2910.20250703137
48203,10451,10451,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,1891,1686,1256,103,1563,157,1050,0,160,10,205,10.8,1306,16,1290,1034,110,1170,222,57,10,0,142,443,23.4,1793845.22265625,8388.45729342265
48203,10452,10452,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,1891,1686,1256,103,1563,157,1050,0,160,10,205,10.8,1306,16,1290,1034,110,1170,222,57,10,0,142,443,23.4,1793845.22265625,8388.45729342265
48204,10472,10472,36005006400,168249,0,Census Tract 64,New York,Bronx County,1337,944,688,68,863,220,548,0,153,4,393,29.4,826,0,826,586,94,708,192,106,24,0,110,401,30.0,294191.28515625,2351.12302806701
48205,10451,10451,36005006500,261808,0,Census Tract 65,New York,Bronx County,1948,1628,1146,66,1479,255,912,63,158,0,320,16.4,1362,0,1362,1137,312,1050,146,22,0,0,27,559,28.7,457567.75390625,3951.1272632859495
