Object ID,ZCTA5,modzcta,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population 25 Years and Over in Households,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households,All Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over With Less Than High School Graduate or Equivalency in Households that Have No Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households,All Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have a Computer without an Internet Subscription,Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households,All Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with Dial-up Internet Subscription Alone,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer with a Broadband Internet Subscription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have a Computer without an Internet Subsription,Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over in Households that Have No Computer,Percent of Population 25 Years and Over who are Not High School Graduates in Households that Have No Computer,Percent of Population 25 Years and Over who are High School Graduates (Includes Equivalency) or Have Some College or Associate's Degree in Households that Have No Computer,Percent of Population 25 Years and Over who Hold a Bachelor's Degree or Higher in Households that Have No Computer,Shape Area,Shape Length
48167,11370,11370,36005000100,1677210,1035011,Census Tract 1,New York,Bronx County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2733873.5703125,6859.25690486936
48168,10473,10473,36005000200,479463,852046,Census Tract 2,New York,Bronx County,3044,757,651,0,566,85,106,1579,1521,0,1422,99,58,708,708,0,664,44,0,164,5.4,14.0,3.7,0.0,831678.45703125,5722.479185788871
48169,10473,10473,36005000400,770689,690794,Census Tract 4,New York,Bronx County,3947,473,247,0,237,10,226,2305,2148,0,1993,155,157,1169,1165,0,1105,60,4,387,9.8,47.8,6.8,0.3,1558095.71484375,9823.2180303129
48170,10473,10473,36005001600,485079,0,Census Tract 16,New York,Bronx County,3441,868,633,0,443,190,235,1942,1756,0,1521,235,186,631,606,0,582,24,25,446,13.0,27.1,9.6,4.0,847812.59375,3898.1632323833
48171,10454,10454,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,1437,247,233,0,194,39,14,834,789,0,711,78,45,356,346,0,335,11,10,69,4.8,5.7,5.4,2.8,2859323.546875,12087.0136547957
48171,10455,10455,36005001900,1668013,1143135,Census Tract 19,New York,Bronx County,1437,247,233,0,194,39,14,834,789,0,711,78,45,356,346,0,335,11,10,69,4.8,5.7,5.4,2.8,2859323.546875,12087.0136547957
48172,10473,10473,36005002000,395564,0,Census Tract 20,New York,Bronx County,5881,2147,1760,0,1413,347,387,3121,2881,0,2512,369,240,613,580,0,465,115,33,660,11.2,18.0,7.7,5.4,691343.82421875,3357.14609856151
48173,10454,10454,36005002300,104645,0,Census Tract 23,New York,Bronx County,2742,1081,625,0,548,77,456,1508,1163,0,878,285,345,153,137,0,137,0,16,817,29.8,42.2,22.9,10.5,182844.9921875,1902.0481346114102
48174,10473,10473,36005002400,675911,263388,Census Tract 24,New York,Bronx County,131,0,0,0,0,0,0,42,42,0,42,0,0,89,89,0,89,0,0,0,0.0,,0.0,0.0,1177585.3671875,6978.29190576802
48175,10454,10454,36005002500,127492,0,Census Tract 25,New York,Bronx County,3654,1748,1291,0,1022,269,457,1638,1512,0,1185,327,126,268,222,23,123,76,46,629,17.2,26.1,7.7,17.2,222750.40234375,2023.30158224368
48176,10454,10454,36005002701,82641,0,Census Tract 27.01,New York,Bronx County,1500,560,395,0,311,84,165,759,696,18,534,144,63,181,162,0,162,0,19,247,16.5,29.5,8.3,10.5,144379.25,1678.0492237067301
48177,10454,10454,36005002702,155504,0,Census Tract 27.02,New York,Bronx County,2327,984,724,0,497,227,260,1217,1130,0,813,317,87,126,126,0,99,27,0,347,14.9,26.4,7.1,0.0,271689.64453125,2449.4611004308
48178,10473,10473,36005002800,414588,24677,Census Tract 28,New York,Bronx County,3949,654,466,0,353,113,188,2559,2172,14,1875,283,387,736,713,0,666,47,23,598,15.1,28.7,15.1,3.1,724673.65234375,3637.3372599283
48179,10454,10454,36005003100,154703,0,Census Tract 31,New York,Bronx County,1011,292,200,0,40,160,92,588,564,0,488,76,24,131,125,0,125,0,6,122,12.1,31.5,4.1,4.6,270317.39453125,2345.1645466916602
48179,10455,10455,36005003100,154703,0,Census Tract 31,New York,Bronx County,1011,292,200,0,40,160,92,588,564,0,488,76,24,131,125,0,125,0,6,122,12.1,31.5,4.1,4.6,270317.39453125,2345.1645466916602
48180,10454,10454,36005003300,152385,0,Census Tract 33,New York,Bronx County,1925,825,558,0,440,118,267,950,898,0,689,209,52,150,150,0,128,22,0,319,16.6,32.4,5.5,0.0,266253.01171875,2403.0945969589498
48181,10454,10454,36005003500,142005,0,Census Tract 35,New York,Bronx County,2222,989,796,0,563,233,193,930,831,0,771,60,99,303,211,0,211,0,92,384,17.3,19.5,10.6,30.4,248133.55078125,2330.37900682193
48181,10455,10455,36005003500,142005,0,Census Tract 35,New York,Bronx County,2222,989,796,0,563,233,193,930,831,0,771,60,99,303,211,0,211,0,92,384,17.3,19.5,10.6,30.4,248133.55078125,2330.37900682193
48182,10455,10455,36005003700,165973,0,Census Tract 37,New York,Bronx County,204,78,35,0,27,8,43,83,64,0,43,21,19,43,43,0,32,11,0,62,30.4,55.1,22.9,0.0,290021.6015625,2229.12910939818
48183,10473,10473,36005003800,63397,0,Census Tract 38,New York,Bronx County,963,223,133,0,107,26,90,671,556,0,534,22,115,69,69,0,69,0,0,205,21.3,40.4,17.1,0.0,110809.6953125,1399.5468912657502
48184,10454,10454,36005003900,216210,0,Census Tract 39,New York,Bronx County,4082,1940,1455,0,1050,405,485,1924,1682,0,1358,324,242,218,218,0,218,0,0,727,17.8,25.0,12.6,0.0,377786.3125,2986.2312009491498
48185,10472,10472,36005004001,123145,0,Census Tract 40.01,New York,Bronx County,1068,353,313,0,277,36,40,565,504,0,477,27,61,150,147,0,142,5,3,104,9.7,11.3,10.8,2.0,215292.390625,1981.8996576035897
48186,10454,10454,36005004100,184733,0,Census Tract 41,New York,Bronx County,2881,1187,897,0,727,170,290,1487,1285,0,1179,106,202,207,187,0,187,0,20,512,17.8,24.4,13.6,9.7,322803.765625,2692.3462175612303
48187,10473,10473,36005004200,483356,0,Census Tract 42,New York,Bronx County,4461,1016,618,0,404,214,398,2950,2754,0,2586,168,196,495,475,0,453,22,20,614,13.8,39.2,6.6,4.0,844931.96484375,4136.94984719945
48188,10454,10454,36005004300,225393,0,Census Tract 43,New York,Bronx County,3669,1563,1128,0,887,241,435,1796,1649,0,1460,189,147,310,291,0,291,0,19,601,16.4,27.8,8.2,6.1,393879.29296875,2613.62047317777
48188,10455,10455,36005004300,225393,0,Census Tract 43,New York,Bronx County,3669,1563,1128,0,887,241,435,1796,1649,0,1460,189,147,310,291,0,291,0,19,601,16.4,27.8,8.2,6.1,393879.29296875,2613.62047317777
48189,10472,10472,36005004400,265578,0,Census Tract 44,New York,Bronx County,2383,948,736,0,475,261,212,1150,1046,0,913,133,104,285,221,0,221,0,64,380,15.9,22.4,9.0,22.5,464282.89453125,3470.90034546296
48190,10473,10473,36005004600,135340,0,Census Tract 46,New York,Bronx County,1140,316,280,0,195,85,36,610,583,0,500,83,27,214,214,0,214,0,0,63,5.5,11.4,4.4,0.0,236569.76953125,2111.29685395732
48191,10472,10472,36005004800,150832,0,Census Tract 48,New York,Bronx County,2807,1184,902,0,616,286,282,1368,1306,0,1135,171,62,255,255,0,232,23,0,344,12.3,23.8,4.5,0.0,263686.09375,2196.83539786601
48192,10472,10472,36005005001,97889,0,Census Tract 50.01,New York,Bronx County,2807,1177,810,0,515,295,367,1314,1118,0,936,182,196,316,250,0,185,65,66,629,22.4,31.2,14.9,20.9,171121.546875,1694.28415675302
48193,10472,10472,36005005002,113902,0,Census Tract 50.02,New York,Bronx County,3174,1380,1054,0,875,179,326,1406,1208,0,947,261,198,388,281,0,196,85,107,631,19.9,23.6,14.1,27.6,199128.2578125,1829.0518695212197
48194,10451,10451,36005005100,510448,0,Census Tract 51,New York,Bronx County,3205,1279,955,0,783,172,324,1688,1443,0,1160,283,245,238,238,0,238,0,0,569,17.8,25.3,14.5,0.0,859020.8671875,5328.35354699498
48194,10454,10454,36005005100,510448,0,Census Tract 51,New York,Bronx County,3205,1279,955,0,783,172,324,1688,1443,0,1160,283,245,238,238,0,238,0,0,569,17.8,25.3,14.5,0.0,859020.8671875,5328.35354699498
48195,10472,10472,36005005200,182689,0,Census Tract 52,New York,Bronx County,1350,357,186,0,124,62,171,841,642,5,540,97,199,152,125,0,120,5,27,397,29.4,47.9,23.7,17.8,319367.328125,2323.6470263414103
48196,10453,10453,36005005300,68745,3852,Census Tract 53,New York,Bronx County,2185,839,639,0,509,130,200,1091,885,0,662,223,206,255,238,0,185,53,17,423,19.4,23.8,18.9,6.7,117559.46875,1676.8115877299801
48197,10472,10472,36005005400,196516,0,Census Tract 54,New York,Bronx County,3670,1722,1540,0,904,636,182,1786,1552,0,1243,309,234,162,162,0,162,0,0,416,11.3,10.6,13.1,0.0,343582.0546875,2566.93009285853
48198,10472,10472,36005005600,136188,0,Census Tract 56,New York,Bronx County,1567,516,325,0,272,53,191,866,667,0,607,60,199,185,185,0,154,31,0,390,24.9,37.0,23.0,0.0,238126.6875,2001.16133017345
48199,10451,10451,36005005902,69637,0,Census Tract 59.02,New York,Bronx County,1726,358,324,0,284,40,34,888,828,0,733,95,60,480,438,0,395,43,42,136,7.9,9.5,6.8,8.8,121729.30078125,2083.80308895687
48200,10460,10460,36005006000,315748,0,Census Tract 60,New York,Bronx County,894,288,273,0,248,25,15,406,383,0,374,9,23,200,200,0,190,10,0,38,4.3,5.2,5.7,0.0,552174.80859375,3164.9106567489303
48201,10451,10451,36005006100,242362,0,Census Tract 61,New York,Bronx County,3114,299,235,0,224,11,64,1739,1411,8,1236,167,328,1076,1047,0,920,127,29,421,13.5,21.4,18.9,2.7,423640.12109375,3358.04672175313
48202,10472,10472,36005006200,192942,0,Census Tract 62,New York,Bronx County,3821,1813,1081,0,835,246,732,1656,1355,0,1214,141,301,352,352,0,352,0,0,1033,27.0,40.4,18.2,0.0,337370.8359375,2910.20250703137
48203,10451,10451,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,3023,786,610,16,394,200,176,1486,1423,0,1172,251,63,751,697,0,602,95,54,293,9.7,22.4,4.2,7.2,1793845.22265625,8388.45729342265
48203,10452,10452,36005006300,1046237,9963,Census Tract 63,New York,Bronx County,3023,786,610,16,394,200,176,1486,1423,0,1172,251,63,751,697,0,602,95,54,293,9.7,22.4,4.2,7.2,1793845.22265625,8388.45729342265
48204,10472,10472,36005006400,168249,0,Census Tract 64,New York,Bronx County,2416,827,577,0,359,218,250,1210,868,0,714,154,342,379,339,0,294,45,40,632,26.2,30.2,28.3,10.6,294191.28515625,2351.12302806701
48205,10451,10451,36005006500,261808,0,Census Tract 65,New York,Bronx County,3005,980,751,0,525,226,229,1641,1350,0,1240,110,291,384,384,0,367,17,0,520,17.3,23.4,17.7,0.0,457567.75390625,3951.1272632859495
48205,10455,10455,36005006500,261808,0,Census Tract 65,New York,Bronx County,3005,980,751,0,525,226,229,1641,1350,0,1240,110,291,384,384,0,367,17,0,520,17.3,23.4,17.7,0.0,457567.75390625,3951.1272632859495
48206,10451,10451,36005006700,212430,0,Census Tract 67,New York,Bronx County,4120,2150,1751,0,1095,656,399,1584,1334,0,1031,303,250,386,369,0,269,100,17,666,16.2,18.6,15.8,4.4,371291.078125,2629.39409586561
48206,10455,10455,36005006700,212430,0,Census Tract 67,New York,Bronx County,4120,2150,1751,0,1095,656,399,1584,1334,0,1031,303,250,386,369,0,269,100,17,666,16.2,18.6,15.8,4.4,371291.078125,2629.39409586561
48207,10472,10472,36005006800,154374,0,Census Tract 68,New York,Bronx County,2093,555,508,0,413,95,47,1184,1027,31,808,188,157,354,346,12,301,33,8,212,10.1,8.5,13.3,2.3,269893.3671875,2244.35394162728
48208,10451,10451,36005006900,187977,0,Census Tract 69,New York,Bronx County,4729,1291,934,0,552,382,357,2462,2294,0,1962,332,168,976,928,0,871,57,48,573,12.1,27.7,6.8,4.9,328576.015625,2631.9937899696
48208,10455,10455,36005006900,187977,0,Census Tract 69,New York,Bronx County,4729,1291,934,0,552,382,357,2462,2294,0,1962,332,168,976,928,0,871,57,48,573,12.1,27.7,6.8,4.9,328576.015625,2631.9937899696
48209,10472,10472,36005007000,204891,0,Census Tract 70,New York,Bronx County,2951,1097,1006,0,926,80,91,1492,1343,0,1211,132,149,362,362,0,362,0,0,240,8.1,8.3,10.0,0.0,358224.9375,2511.64731016121
48210,10451,10451,36005007100,264262,0,Census Tract 71,New York,Bronx County,1722,350,284,0,233,51,66,960,913,0,806,107,47,412,412,0,385,27,0,113,6.6,18.9,4.9,0.0,461864.9921875,3476.0949424859496
48210,10455,10455,36005007100,264262,0,Census Tract 71,New York,Bronx County,1722,350,284,0,233,51,66,960,913,0,806,107,47,412,412,0,385,27,0,113,6.6,18.9,4.9,0.0,461864.9921875,3476.0949424859496
48210,10456,10456,36005007100,264262,0,Census Tract 71,New York,Bronx County,1722,350,284,0,233,51,66,960,913,0,806,107,47,412,412,0,385,27,0,113,6.6,18.9,4.9,0.0,461864.9921875,3476.0949424859496
48211,10472,10472,36005007200,213050,0,Census Tract 72,New York,Bronx County,3919,1140,966,0,746,220,174,1988,1913,18,1529,366,75,791,745,10,728,7,46,295,7.5,15.3,3.8,5.8,372503.203125,2997.19097519659
48212,10455,10455,36005007300,140161,0,Census Tract 73,New York,Bronx County,2468,1071,960,0,569,391,111,1243,956,0,805,151,287,154,125,0,117,8,29,427,17.3,10.4,23.1,18.8,244939.6484375,2046.2332310006698
48213,10473,10473,36005007400,187162,0,Census Tract 74,New York,Bronx County,2188,478,459,0,298,161,19,1290,1209,0,1055,154,81,420,420,0,363,57,0,100,4.6,4.0,6.3,0.0,327126.5625,2584.65926290808
48214,10455,10455,36005007500,227618,0,Census Tract 75,New York,Bronx County,3499,1072,687,0,546,141,385,1990,1740,0,1427,313,250,437,374,0,358,16,63,698,19.9,35.9,12.6,14.4,397828.0,2948.8213031434
48214,10456,10456,36005007500,227618,0,Census Tract 75,New York,Bronx County,3499,1072,687,0,546,141,385,1990,1740,0,1427,313,250,437,374,0,358,16,63,698,19.9,35.9,12.6,14.4,397828.0,2948.8213031434
48215,10472,10472,36005007600,217217,0,Census Tract 76,New York,Bronx County,3607,1160,1069,0,912,157,91,2087,1790,0,1553,237,297,360,360,0,309,51,0,388,10.8,7.8,14.2,0.0,379812.50390625,2682.26680639098
48216,10455,10455,36005007700,112827,0,Census Tract 77,New York,Bronx County,1123,380,296,0,252,44,84,559,501,0,402,99,58,184,163,0,163,0,21,163,14.5,22.1,10.4,11.4,197201.9140625,1813.3161524491
48216,10456,10456,36005007700,112827,0,Census Tract 77,New York,Bronx County,1123,380,296,0,252,44,84,559,501,0,402,99,58,184,163,0,163,0,21,163,14.5,22.1,10.4,11.4,197201.9140625,1813.3161524491
48216,10459,10459,36005007700,112827,0,Census Tract 77,New York,Bronx County,1123,380,296,0,252,44,84,559,501,0,402,99,58,184,163,0,163,0,21,163,14.5,22.1,10.4,11.4,197201.9140625,1813.3161524491
48217,10472,10472,36005007800,311879,0,Census Tract 78,New York,Bronx County,4194,1403,967,0,806,161,436,2096,2021,41,1654,326,75,695,657,0,588,69,38,549,13.1,31.1,3.6,5.5,545271.1328125,3558.5982149183797
48218,10455,10455,36005007900,197930,0,Census Tract 79,New York,Bronx County,3991,1507,1226,0,947,279,281,2173,1832,0,1406,426,341,311,281,0,262,19,30,652,16.3,18.6,15.7,9.6,345908.73046875,3026.8942589926896
48219,10455,10455,36005008300,213932,0,Census Tract 83,New York,Bronx County,4098,1636,1475,0,1307,168,161,1734,1631,0,1406,225,103,728,698,0,665,33,30,294,7.2,9.8,5.9,4.1,373852.25390625,2758.66681398839
48220,10473,10473,36005008400,156789,0,Census Tract 84,New York,Bronx County,1747,299,250,0,221,29,49,994,943,0,888,55,51,454,448,0,427,21,6,106,6.1,16.4,5.1,1.3,274010.0078125,2644.06542709036
48221,10455,10455,36005008500,181658,0,Census Tract 85,New York,Bronx County,3271,1140,865,0,669,196,275,1599,1454,0,1206,248,145,532,501,0,501,0,31,451,13.8,24.1,9.1,5.8,317476.48828125,2600.68543501319
48221,10459,10459,36005008500,181658,0,Census Tract 85,New York,Bronx County,3271,1140,865,0,669,196,275,1599,1454,0,1206,248,145,532,501,0,501,0,31,451,13.8,24.1,9.1,5.8,317476.48828125,2600.68543501319
48222,10473,10473,36005008600,187658,0,Census Tract 86,New York,Bronx County,2360,851,655,0,394,261,196,1276,1166,0,793,373,110,233,233,0,195,38,0,306,13.0,23.0,8.6,0.0,327997.58203125,2589.4099737611105
48223,10459,10459,36005008700,213574,0,Census Tract 87,New York,Bronx County,3806,1345,1019,0,736,283,326,2113,1751,0,1551,200,362,348,338,0,324,14,10,698,18.3,24.2,17.1,2.9,373289.80859375,2801.5376865798803
48224,10459,10459,36005008900,110291,0,Census Tract 89,New York,Bronx County,1943,673,411,0,309,102,262,979,790,0,696,94,189,291,248,0,235,13,43,494,25.4,38.9,19.3,14.8,192765.80078125,2102.59626956035
48225,10465,10465,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,2368,652,544,0,259,285,108,1467,1381,0,1169,212,86,249,213,0,183,30,36,230,9.7,16.6,5.9,14.5,1778745.59375,11670.9095454748
48225,10473,10473,36005009000,1024677,1162033,Census Tract 90,New York,Bronx County,2368,652,544,0,259,285,108,1467,1381,0,1169,212,86,249,213,0,183,30,36,230,9.7,16.6,5.9,14.5,1778745.59375,11670.9095454748
48226,10462,10462,36005009200,310475,0,Census Tract 92,New York,Bronx County,3856,724,648,0,550,98,76,2283,2094,0,1930,164,189,849,834,0,785,49,15,280,7.3,10.5,8.3,1.8,542861.55859375,3696.42321185825
48227,10455,10455,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,3449,1368,925,0,726,199,443,1695,1561,0,1388,173,134,386,359,0,314,45,27,604,17.5,32.4,7.9,7.0,4018113.5390625,10812.8062755401
48227,10474,10474,36005009300,2307627,1595761,Census Tract 93,New York,Bronx County,3449,1368,925,0,726,199,443,1695,1561,0,1388,173,134,386,359,0,314,45,27,604,17.5,32.4,7.9,7.0,4018113.5390625,10812.8062755401
48228,10461,10461,36005009600,703455,15353,Census Tract 96,New York,Bronx County,1625,387,300,0,255,45,87,851,812,0,700,112,39,387,352,0,339,13,35,161,9.9,22.5,4.6,9.0,1256916.20703125,5046.2527646485105
48228,10462,10462,36005009600,703455,15353,Census Tract 96,New York,Bronx County,1625,387,300,0,255,45,87,851,812,0,700,112,39,387,352,0,339,13,35,161,9.9,22.5,4.6,9.0,1256916.20703125,5046.2527646485105
48229,10473,10473,36005009800,517450,0,Census Tract 98,New York,Bronx County,3315,668,496,0,448,48,172,1707,1596,0,1526,70,111,940,883,0,869,14,57,340,10.3,25.7,6.5,6.1,904578.65234375,4113.522147690979
48230,10465,10465,36005011000,2069297,452399,Census Tract 110,New York,Bronx County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3607727.734375,10518.245501281
48231,10474,10474,36005011502,336295,10037,Census Tract 115.02,New York,Bronx County,2384,757,541,0,499,42,216,1329,1128,0,1065,63,201,298,281,0,281,0,17,434,18.2,28.5,15.1,5.7,587784.43359375,3064.39179160365
48232,10474,10474,36005011700,1357971,431176,Census Tract 117,New York,Bronx County,861,259,229,0,213,16,30,464,436,0,385,51,28,138,116,0,51,65,22,80,9.3,11.6,6.0,15.9,2391680.265625,7067.76299011948
48233,10465,10465,36005011800,989676,2876319,Census Tract 118,New York,Bronx County,3023,234,172,0,172,0,62,2051,1885,16,1746,123,166,738,722,0,714,8,16,244,8.1,26.5,8.1,2.2,1890836.83203125,11249.0442814835
48234,10459,10459,36005011900,166999,0,Census Tract 119,New York,Bronx County,3310,1565,1327,0,1193,134,238,1463,1244,0,1056,188,219,282,282,0,261,21,0,457,13.8,15.2,15.0,0.0,291913.44921875,2224.33813512231
48235,10459,10459,36005012101,115615,0,Census Tract 121.01,New York,Bronx County,1755,557,356,0,304,52,201,928,837,0,731,106,91,270,254,0,234,20,16,308,17.5,36.1,9.8,5.9,202128.125,1772.99151230862
48236,10459,10459,36005012102,49643,0,Census Tract 121.02,New York,Bronx County,908,308,289,0,164,125,19,515,486,0,429,57,29,85,71,0,64,7,14,62,6.8,6.2,5.6,16.5,86781.94921875,1605.2300759498598
48237,10459,10459,36005012300,303328,0,Census Tract 123,New York,Bronx County,2554,885,649,0,515,134,236,1227,1100,0,873,227,127,442,431,0,363,68,11,374,14.6,26.7,10.4,2.5,530310.2734375,4718.59805070936
48238,10459,10459,36005012500,169640,0,Census Tract 125,New York,Bronx County,2494,687,631,0,493,138,56,1302,1167,0,891,276,135,505,499,0,478,21,6,197,7.9,8.2,10.4,1.2,296580.72265625,2304.97379088801
48239,10459,10459,36005012701,108718,0,Census Tract 127.01,New York,Bronx County,1207,272,167,0,97,70,105,760,632,11,504,117,128,175,175,0,146,29,0,233,19.3,38.6,16.8,0.0,190054.83984375,2035.85651320768
48240,10459,10459,36005012901,156381,0,Census Tract 129.01,New York,Bronx County,2393,778,436,0,284,152,342,1318,1204,15,1098,91,114,297,269,0,260,9,28,484,20.2,44.0,8.6,9.4,273351.87890625,2864.0508400157696
48241,10465,10465,36005013000,116144,0,Census Tract 130,New York,Bronx County,1082,155,136,0,136,0,19,595,580,0,570,10,15,332,332,0,325,7,0,34,3.1,12.3,2.5,0.0,202995.859375,2603.96638235619
48242,10456,10456,36005013100,230967,0,Census Tract 131,New York,Bronx County,2873,863,588,0,532,56,275,1550,1367,8,1218,141,183,460,435,0,411,24,25,483,16.8,31.9,11.8,5.4,403769.27734375,2638.68078784506
48242,10459,10459,36005013100,230967,0,Census Tract 131,New York,Bronx County,2873,863,588,0,532,56,275,1550,1367,8,1218,141,183,460,435,0,411,24,25,483,16.8,31.9,11.8,5.4,403769.27734375,2638.68078784506
48243,10465,10465,36005013200,604268,925089,Census Tract 132,New York,Bronx County,5230,597,518,0,430,88,79,2709,2583,0,2270,313,126,1924,1826,0,1747,79,98,303,5.8,13.2,4.7,5.1,1056027.2578125,5396.18469829902
48244,10456,10456,36005013300,161159,0,Census Tract 133,New York,Bronx County,3810,1441,823,0,692,131,618,2119,1713,0,1583,130,406,250,212,0,201,11,38,1062,27.9,42.9,19.2,15.2,281705.94921875,2306.73251948218
48244,10459,10459,36005013300,161159,0,Census Tract 133,New York,Bronx County,3810,1441,823,0,692,131,618,2119,1713,0,1583,130,406,250,212,0,201,11,38,1062,27.9,42.9,19.2,15.2,281705.94921875,2306.73251948218
48245,10456,10456,36005013500,167404,0,Census Tract 135,New York,Bronx County,2238,774,482,0,356,126,292,1289,1084,0,891,193,205,175,175,0,175,0,0,497,22.2,37.7,15.9,0.0,292660.25,2817.16890071038
48245,10459,10459,36005013500,167404,0,Census Tract 135,New York,Bronx County,2238,774,482,0,356,126,292,1289,1084,0,891,193,205,175,175,0,175,0,0,497,22.2,37.7,15.9,0.0,292660.25,2817.16890071038
48246,10465,10465,36005013800,764724,3460640,Census Tract 138,New York,Bronx County,1872,334,290,0,268,22,44,1124,1042,0,885,157,82,414,399,0,355,44,15,141,7.5,13.2,7.3,3.6,1326894.75,8061.92374502655
48247,10451,10451,36005014100,177165,0,Census Tract 141,New York,Bronx County,3616,1033,873,0,625,248,160,1930,1759,0,1512,247,171,653,642,0,610,32,11,342,9.5,15.5,8.9,1.7,309693.84765625,2737.97271445901
48247,10456,10456,36005014100,177165,0,Census Tract 141,New York,Bronx County,3616,1033,873,0,625,248,160,1930,1759,0,1512,247,171,653,642,0,610,32,11,342,9.5,15.5,8.9,1.7,309693.84765625,2737.97271445901
48248,10451,10451,36005014300,129711,0,Census Tract 143,New York,Bronx County,935,313,237,0,171,66,76,420,383,0,339,44,37,202,202,0,191,11,0,113,12.1,24.3,8.8,0.0,226768.18359375,2708.16081933577
48248,10456,10456,36005014300,129711,0,Census Tract 143,New York,Bronx County,935,313,237,0,171,66,76,420,383,0,339,44,37,202,202,0,191,11,0,113,12.1,24.3,8.8,0.0,226768.18359375,2708.16081933577
48249,10465,10465,36005014400,401253,0,Census Tract 144,New York,Bronx County,3506,946,610,0,565,45,336,2025,1575,0,1514,61,450,535,497,0,441,56,38,824,23.5,35.5,22.2,7.1,701353.359375,3974.3978883561
48250,10456,10456,36005014500,181445,0,Census Tract 145,New York,Bronx County,4058,1538,1208,0,662,546,330,2232,2001,0,1542,459,231,288,275,0,255,20,13,574,14.1,21.5,10.3,4.5,317248.94921875,2265.90520375475
48251,10456,10456,36005014701,138921,0,Census Tract 147.01,New York,Bronx County,3351,1574,1002,0,689,313,572,1426,1163,0,828,335,263,351,277,0,188,89,74,909,27.1,36.3,18.4,21.1,242916.4921875,2062.22489845716
48252,10456,10456,36005014702,116305,0,Census Tract 147.02,New York,Bronx County,2895,1122,808,0,670,138,314,1500,1389,0,1242,147,111,273,255,0,232,23,18,443,15.3,28.0,7.4,6.6,203384.71875,2077.3993578089603
48253,10456,10456,36005014900,155523,0,Census Tract 149,New York,Bronx County,2731,1125,1013,0,938,75,112,1262,1132,0,863,269,130,344,310,40,270,0,34,276,10.1,10.0,10.3,9.9,271933.28515625,2373.97206142702
48254,10456,10456,36005015100,208929,0,Census Tract 151,New York,Bronx County,3117,971,785,0,541,244,186,1532,1390,0,1289,101,142,614,614,0,586,28,0,328,10.5,19.2,9.3,0.0,365296.69140625,3049.16812277025
48254,10459,10459,36005015100,208929,0,Census Tract 151,New York,Bronx County,3117,971,785,0,541,244,186,1532,1390,0,1289,101,142,614,614,0,586,28,0,328,10.5,19.2,9.3,0.0,365296.69140625,3049.16812277025
48255,10465,10465,36005015200,284310,0,Census Tract 152,New York,Bronx County,1790,354,267,0,239,28,87,1036,980,0,910,70,56,400,400,0,384,16,0,143,8.0,24.6,5.4,0.0,497026.79296875,3556.6764062996294
48256,10459,10459,36005015300,236838,0,Census Tract 153,New York,Bronx County,3048,809,598,0,482,116,211,1607,1536,0,1266,270,71,632,632,0,563,69,0,282,9.3,26.1,4.4,0.0,414123.29296875,2940.3634016848305
48256,10460,10460,36005015300,236838,0,Census Tract 153,New York,Bronx County,3048,809,598,0,482,116,211,1607,1536,0,1266,270,71,632,632,0,563,69,0,282,9.3,26.1,4.4,0.0,414123.29296875,2940.3634016848305
