modzcta,no highschool,highschool,college,perc
11370,0.18611142544604126,0.5359662027083097,0.277922371845649,0.14614480900000001
10473,0.24147938872479774,0.5782201104404777,0.18030050083472454,0.205640593
10454,0.4141249388354265,0.4997227206002283,0.08615234056434513,0.330786823
10455,0.3660775137443773,0.49686491889681494,0.13705756735880775,0.276181426
10472,0.37372988739331053,0.50228321419179,0.12398689841489946,0.25734367399999997
10451,0.3109048117154812,0.4990062761506276,0.1900889121338912,0.27699734600000003
10453,0.34814014332840404,0.5276039889280704,0.12425586774352558,0.26202828899999997
10460,0.35942533739660426,0.5116891597736177,0.12888550282977798,0.294443988
10452,0.34668835878236665,0.5046749122841406,0.14863672893349275,0.25926102100000004
10456,0.34744012365098687,0.5191016153961893,0.13345826095282387,0.246283534
10459,0.3426429283319743,0.5203406722841352,0.13701639938389054,0.27742763800000003
10465,0.15917908016702698,0.5849794177747505,0.25584150205822254,0.165630596
10462,0.20189425728329938,0.5508632058506174,0.2472425368660832,0.17786365
10474,0.356139826710487,0.5210636390797729,0.12279653420974007,0.28519839399999997
10461,0.19066794181305682,0.5250918608748175,0.28424019731212563,0.175122937
10457,0.35468703570991594,0.5161420006642079,0.12917096362587616,0.276880201
10458,0.32041424217234693,0.5368523136602937,0.1427334441673594,0.20695462899999997
10468,0.3137251395049363,0.5287058234368293,0.15756903705823436,0.193384678
10463,0.17349915285322526,0.40869155123927964,0.41780929590749505,0.14507654
10475,0.1328657540420258,0.5750380260267027,0.2920962199312715,0.215446263
10469,0.199418021602249,0.555427688362076,0.24515429003567496,0.183628278
10471,0.07665323536383029,0.32789760606778856,0.5954491585683811,0.13025774199999998
10467,0.2598818653149055,0.5494995884060483,0.19061854627904626,0.21260102399999997
10466,0.19996636677036914,0.5734633818212393,0.2265702514083915,0.19813085100000002
10470,0.19341711549970078,0.535248354278875,0.2713345302214243,0.18116946899999997
10464,0.11502222222222222,0.5144888888888889,0.37048888888888887,0.170516129
11201,0.05773578662941382,0.19410694263184017,0.748157270738746,0.08814343699999999
11220,0.4382959104842126,0.3357589652852194,0.22594512423056795,0.20873616899999997
11232,0.2953929539295393,0.35085817524841917,0.35374887082204154,0.149993723
11205,0.14766561079741083,0.34570995730615617,0.506624431896433,0.189458868
11217,0.09669811320754718,0.22742587601078168,0.6758760107816711,0.08977157599999999
11209,0.1285224607613206,0.3783330326537976,0.49314450658488185,0.127414856
11231,0.10419515918704876,0.23173563181832638,0.6640692089946248,0.119038263
11219,0.33625966632945253,0.4643610363333962,0.1993792973371513,0.34200734299999996
11215,0.06702366557263777,0.18813266539989634,0.7448436690274659,0.067192024
11228,0.21387654585363242,0.4534771668718882,0.33264628727447937,0.141455928
11238,0.0900572104951667,0.28462221345433025,0.6253205760505031,0.129888354
11214,0.23906088497317518,0.4393857360830831,0.3215533789437417,0.168952369
11218,0.18158754272692745,0.39430307633877704,0.42410938093429545,0.198904175
11225,0.12609240977504452,0.5046730862599126,0.36923450396504287,0.20183276600000002
11204,0.2622808378588053,0.46453064391000776,0.27318851823118695,0.223496833
11216,0.1274875915859135,0.41956984164500116,0.45294256676908534,0.18278350000000002
11206,0.24320893627824322,0.4522721502919523,0.3045189134298045,0.255369232
11221,0.21293654519845426,0.46740582902957856,0.3196576257719672,0.21656761300000002
11213,0.17927300539409066,0.538523468319781,0.2822035262861283,0.23722840399999998
11233,0.18624718619358988,0.5382677671776182,0.2754850466287919,0.24092916
11223,0.21180100850455333,0.46123278392413636,0.3269662075713103,0.167168134
11224,0.18236472945891782,0.4502918881240742,0.3673433824170079,0.271215279
11235,0.1217938989224465,0.40519552790003543,0.4730105731775181,0.190189463
11212,0.20159424450711838,0.638170671980815,0.1602350835120666,0.27061802100000004
11207,0.2216835899115624,0.6054372748116607,0.17287913527677695,0.208103708
11237,0.2909137908750162,0.40121494119167633,0.3078712679333075,0.185992223
11230,0.16669116782312124,0.4191167823121251,0.4141920498647536,0.20301505
11211,0.15930311274603723,0.32520979422922175,0.515487093024741,0.22255027100000002
11222,0.0927659804106743,0.3067375408110952,0.6004964787782305,0.13417395
11226,0.15727016106713898,0.5386948580284496,0.30403498090441133,0.22299447
11210,0.12063421501074313,0.5250944654367637,0.35427131955249314,0.142410078
11229,0.14894859020132223,0.4520586997542864,0.39899271004439135,0.151883831
11234,0.10217418108585755,0.5527927335497924,0.34503308536435,0.134443612
11236,0.1276974729611974,0.5988646265826029,0.2734379004561997,0.151761419
11203,0.1249730692443589,0.6269192651853555,0.24810766557028568,0.220681352
11239,0.18604986309266464,0.6090935293269923,0.204856607580343,0.278966102
11208,0.18993480331111273,0.6634385759285034,0.14662662076038385,0.205912591
11004,0.07071024101900165,0.41795807341729113,0.5113316855637072,0.097287888
11429,0.11018200469388707,0.5192806851209997,0.3705373101851132,0.091097863
11411,0.10915099382806046,0.5884725664576955,0.30237643971424405,0.10213061
10004,0.016305670479435385,0.09479192017522511,0.8889024093453395,0.013412178
10002,0.34003801338732337,0.3269151309809107,0.33304685563176595,0.34022678
10005,0.019775280898876403,0.09812734082397004,0.8820973782771535,0.013202021999999999
10038,0.2698138609225006,0.20592367127136502,0.5242624678061344,0.226656291
10006,0.004319654427645789,0.06884449244060475,0.9268358531317494,0.0
10007,0.11692426253371581,0.0980434131095603,0.7850323243567239,0.105386836
10009,0.11515621537779748,0.28903168623975184,0.5958120983824507,0.174443075
10013,0.1655891910381392,0.14099538224730632,0.6934154267145545,0.152768976
10003,0.03314413136022704,0.1484694911818366,0.8183863774579363,0.07662358
10012,0.1047106824925816,0.15304154302670622,0.7422477744807122,0.11642318300000001
10014,0.020429853566367503,0.17391946150212564,0.8056506849315068,0.057398652
10010,0.03591491813511308,0.15059778172564459,0.8134873001392423,0.096999178
10011,0.04287891950367979,0.17433493419003754,0.7827861463062826,0.064376485
10016,0.03196006324503899,0.1707260743662172,0.7973138623887438,0.091933561
10001,0.06644053323212676,0.21144266805825704,0.7221167987096162,0.088225644
10017,0.021487668895458424,0.14212019602785658,0.836392135076685,0.0501923
10018,0.06688304161353889,0.1862176886519068,0.7468992697345543,0.043443085
10036,0.06786210636927562,0.1996542490085082,0.7324836446222162,0.10739117699999999
10022,0.017464148800227175,0.14884755549245113,0.8336882957073217,0.068709719
10019,0.04814373161618571,0.21915891565307258,0.7326973527307417,0.10562528300000001
