Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Total Population,Total Population - Margin of Error,Non-Hispanic White Population,Non-Hispanic White Population - Margin of Error,Black or African American Population,Black or African American Population - Margin of Error,American Indian and Alaska Native Population,American Indian and Alaska Native Population - Margin of Error,Asian Population,Asian Population - Margin of Error,Native Hawaiian and Other Pacific Islander Population,Native Hawaiian and Other Pacific Islander Population - Margin of Error,Some Other Race Population,Some Other Race Population - Margin of Error,Two or More Races Population,Two or More Races Population - Margin of Error,Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,Percent of Population that is Non-Hispanic White,Percent of Population that is Non-Hispanic White - Margin of Error,Percent of Population that is Black or African American,Percent of Population that is Black or African American - Margin of Error,Percent of Population that is American Indian and Alaska Native,Percent of Population that is American Indian and Alaska Native - Margin of Error,Percent of Population that is Asian,Percent of Population that is Asian - Margin of Error,Percent of Population that is Native Hawaiian and Other Pacific Islander,Percent of Population that is Native Hawaiian and Other Pacific Islander - Margin of Error,Percent of Population that is Some Other Race,Percent of Population that is Some Other Race - Margin of Error,Percent of Population that is 2 or More Races,Percent of Population that is 2 or More Races - Margin of Error,Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Shape Area,Shape Length
1,01779775,01,AL,Alabama,131174048583,4593327154,4864680,,3196730,847,1285737,2516,23243,1178,63936,1243,1521,265,7503,1299,82864,3183,203146,393,65.7,,26.4,,0.5,,1.3,,0,,0.2,,1.7,,4.2,,190122625832.525,2312415.89178446
2,01785533,02,AK,Alaska,1478839695958,245481577452,738516,,450754,457,22817,675,103506,1355,45617,969,8544,413,1459,566,54633,1766,51186,121,61,,3.1,,14,,6.2,,1.2,,0.2,,7.4,,6.9,,8208933682478.09,63996878.6025828
3,01779777,04,AZ,Arizona,294198551143,1027337603,6946685,,3825886,1181,286614,2564,271946,1835,222477,2133,12523,512,9177,1298,154750,3960,2163312,,55.1,,4.1,,3.9,,3.2,,0.2,,0.1,,2.2,,31.1,,434058036475.438,2904949.8979294
4,00068085,05,AR,Arkansas,134768872727,2962859592,2990671,,2173849,793,458536,1812,17342,977,43441,1080,7877,627,4641,985,65933,2122,219052,321,72.7,,15.3,,0.6,,1.5,,0.3,,0.2,,2.2,,7.3,,205326115241.953,2656504.35896412
5,01779778,06,CA,California,403503931312,20463871877,39148760,,14695836,3121,2164519,6255,138427,2841,5525439,8702,138911,2227,97763,3056,1166288,13507,15221577,,37.5,,5.5,,0.4,,14.1,,0.4,,0.2,,3,,38.9,,650088043494.613,5274812.47760218
6,01779779,08,CO,Colorado,268422891711,1181621593,5531141,,3778212,1322,216732,2260,30131,1090,169556,1824,7480,415,10352,1333,133884,3379,1184794,366,68.3,,3.9,,0.5,,3.1,,0.1,,0.2,,2.4,,21.4,,447310993087.215,2708265.22753582
7,01779780,09,CT,Connecticut,12542497068,1815617571,3581504,,2418696,1034,351817,1870,5320,598,157406,1395,752,200,11421,1287,74301,2467,561791,,67.5,,9.8,,0.1,,4.4,,0,,0.3,,2.1,,15.7,,23146187281.7422,782072.641636725
8,01779781,10,DE,Delaware,5045925646,1399985648,949495,,595623,324,204665,1116,2851,369,36464,705,276,73,1804,431,21497,1293,86315,,62.7,,21.6,,0.3,,3.8,,0,,0.2,,2.3,,9.1,,8697981313.87109,610862.733093048
9,01702382,11,DC,District of Columbia,158340391,18687198,684498,,248057,358,315281,1027,1314,186,26278,594,280,75,2648,621,15864,1026,74776,,36.2,,46.1,,0.2,,3.8,,0,,0.4,,2.3,,10.9,,292745374.59375,86300.673721702
10,00294478,12,FL,Florida,138949136250,31361101223,20598139,,11196857,3346,3167011,6159,41776,1520,548642,3109,10770,846,68744,3694,379619,8121,5184720,,54.4,,15.4,,0.2,,2.7,,0.1,,0.3,,1.8,,25.2,,196197901321.74,4679537.4653303
